"chr","start","end","gene","peakWidth"
"chr11",125628035,125628535,"CHEK1",500
"chr9",97028614,97029114,"CTSV",500
"chr3",109324223,109324723,"DPPA4",500
"chr18",313952,314452,"COLEC12",500
"chr10",69802345,69802845,"COL13A1",500
"chr2",218713714,218714214,"TTLL4",500
"chr9",113221159,113221659,"SLC31A1",500
"chr16",56731221,56731721,"NUP93",500
"chr6",43077657,43078157,"PTK7",500
"chr11",119093739,119094239,"DPAGT1",500
"chr1",52683947,52684447,"COA7",500
"chr17",55716686,55717186,"TMEM100",500
"chr15",101173073,101173573,"CHSY1",500
"chr3",196935884,196936384,"NCBP2",500
"chr15",101173661,101174161,"CHSY1",500
"chr2",205682115,205682615,"NRP2",500
"chr7",75530511,75531011,"HIP1",500
"chr20",62464568,62465068,"GATA5",500
"chr8",121611534,121612034,"HAS2",500
"chr6",1610039,1610539,"FOXC1",500
"chr17",1514906,1515406,"PITPNA",500
"chr11",119096160,119096660,"DPAGT1",500
"chrX",9786953,9787453,"SHROOM2",500
"chr21",45405290,45405790,"COL18A1",500
"chr13",38686201,38686701,"FREM2",500
"chr17",42755232,42755732,"RAMP2-AS1",500
"chr3",152833974,152834474,"P2RY1",500
"chr20",32192211,32192711,"PLAGL2",500
"chr1",89180076,89180576,"GBP4",500
"chr3",184563821,184564321,"EPHB3",500
"chr9",78300033,78300533,"PSAT1",500
"chr3",152835249,152835749,"P2RY1",500
"chr16",56732878,56733378,"NUP93",500
"chr6",34237267,34237767,"HMGA1",500
"chr1",53242282,53242782,"LRP8",500
"chr19",39411191,39411691,"PLEKHG2",500
"chr1",149928701,149929201,"MTMR11",500
"chr5",168660534,168661034,"SLIT3",500
"chr15",89576209,89576709,"TICRR",500
"chr1",160401883,160402383,"VANGL2",500
"chr1",149901799,149902299,"SV2A",500
"chr3",10025565,10026065,"FANCD2",500
"chr1",52683411,52683911,"COA7",500
"chr10",13162658,13163158,"MCM10",500
"chr9",71680918,71681418,"CEMIP2",500
"chr5",34654903,34655403,"RAI14",500
"chr6",43519397,43519897,"XPO5",500
"chr20",62464035,62464535,"GATA5",500
"chr3",109323327,109323827,"DPPA4",500
"chr6",1609076,1609576,"FOXC1",500
"chr19",4901891,4902391,"UHRF1",500
"chr6",20402736,20403236,"E2F3",500
"chr1",21215382,21215882,"ECE1",500
"chr9",71682845,71683345,"CEMIP2",500
"chr19",39412331,39412831,"PLEKHG2",500
"chr9",113220475,113220975,"SLC31A1",500
"chr16",56731742,56732242,"NUP93",500
"chr1",157994550,157995050,"KIRREL1",500
"chr5",122312140,122312640,"SNCAIP",500
"chr10",119726513,119727013,"INPP5F",500
"chr1",29238172,29238672,"PTPRU",500
"chr19",4904460,4904960,"UHRF1",500
"chr15",65532802,65533302,"HACD3",500
"chr10",22532490,22532990,"PIP4K2A",500
"chr12",74538301,74538801,"ATXN7L3B",500
"chr11",69640686,69641186,"CCND1",500
"chr6",2885586,2886086,"SERPINB9",500
"chr2",68861532,68862032,"BMP10",500
"chr16",68635392,68635892,"CDH3",500
"chr16",23838804,23839304,"PRKCB",500
"chr4",108047745,108048245,"LEF1",500
"chr21",43662164,43662664,"RRP1B",500
"chr22",21417767,21418267,"HIC2",500
"chr1",43990062,43990562,"SLC6A9",500
"chr5",34658256,34658756,"RAI14",500
"chr14",69854121,69854621,"SMOC1",500
"chr19",29814894,29815394,"CCNE1",500
"chr5",147389218,147389718,"DPYSL3",500
"chr12",65825889,65826389,"HMGA2",500
"chr15",101175452,101175952,"CHSY1",500
"chr8",125430896,125431396,"TRIB1",500
"chr4",110045343,110045843,"ELOVL6",500
"chr7",105437020,105437520,"PUS7",500
"chrX",15464634,15465134,"BMX",500
"chr6",107065573,107066073,"BEND3",500
"chr6",89093129,89093629,"SRSF12",500
"chr5",122312955,122313455,"SNCAIP",500
"chr7",41961868,41962368,"GLI3",500
"chr20",62463916,62464416,"GATA5",500
"chr18",72533743,72534243,"CBLN2",500
"chr3",10026103,10026603,"FANCD2",500
"chr9",113220194,113220694,"SLC31A1",500
"chr17",62967251,62967751,"TANC2",500
"chr6",82362780,82363280,"TPBG",500
"chr16",46690738,46691238,"ORC6",500
"chr6",43078831,43079331,"PTK7",500
"chr17",1516809,1517309,"PITPNA",500
"chr10",69804808,69805308,"COL13A1",500
"chr9",115016608,115017108,"TNC",500
"chr19",36714384,36714884,"ZNF850",500
"chr6",20404064,20404564,"E2F3",500
"chr1",64468757,64469257,"CACHD1",500
"chr3",13317320,13317820,"NUP210",500
"chr6",82363017,82363517,"TPBG",500
"chr12",65824716,65825216,"HMGA2",500
"chr3",184563439,184563939,"EPHB3",500
"chr1",149926056,149926556,"MTMR11",500
"chr10",106571381,106571881,"SORCS1",500
"chr17",55717065,55717565,"TMEM100",500
"chr13",39007127,39007627,"PROSER1",500
"chr10",106571901,106572401,"SORCS1",500
"chr17",79778100,79778600,"CBX2",500
"chr1",157995762,157996262,"KIRREL1",500
"chr15",101174548,101175048,"CHSY1",500
"chr17",79930285,79930785,"TBC1D16",500
"chr1",201481389,201481889,"CSRP1",500
"chr17",62965176,62965676,"TANC2",500
"chr9",113875355,113875855,"ZNF618",500
"chr7",33904625,33905125,"BMPER",500
"chr17",44921902,44922402,"KIF18B",500
"chr17",79780360,79780860,"CBX2",500
"chr22",21418550,21419050,"HIC2",500
"chr6",85450143,85450643,"NT5E",500
"chr1",21216625,21217125,"ECE1",500
"chr5",76613452,76613952,"F2RL2",500
"chr19",36711721,36712221,"ZNF850",500
"chr3",109325664,109326164,"DPPA4",500
"chr17",79933676,79934176,"TBC1D16",500
"chr15",89575279,89575779,"TICRR",500
"chr3",129977122,129977622,"TRH",500
"chr3",101830728,101831228,"NFKBIZ",500
"chr3",196932513,196933013,"NCBP2",500
"chr5",168661990,168662490,"SLIT3",500
"chr11",35944540,35945040,"LDLRAD3",500
"chr9",91563920,91564420,"ROR2",500
"chr21",31116145,31116645,"TIAM1",500
"chr1",167721811,167722311,"MPZL1",500
"chr1",914172,914672,"LINC02593",500
"chr3",48158386,48158886,"CDC25A",500
"chr4",1795607,1796107,"FGFR3",500
"chr15",101177195,101177695,"CHSY1",500
"chr15",89574285,89574785,"TICRR",500
"chr17",4585109,4585609,"SMTNL2",500
"chr1",149902329,149902829,"SV2A",500
"chr4",108048258,108048758,"LEF1",500
"chr15",89577813,89578313,"TICRR",500
"chr3",129977144,129977644,"TRH",500
"chr15",66701742,66702242,"SMAD6",500
"chr1",28507641,28508141,"RCC1",500
"chr6",43521928,43522428,"XPO5",500
"chr7",33905019,33905519,"BMPER",500
"chr15",89574074,89574574,"TICRR",500
"chr1",916363,916863,"LINC02593",500
"chr1",52685134,52685634,"COA7",500
"chr6",47230423,47230923,"TNFRSF21",500
"chr19",799595,800095,"PTBP1",500
"chr1",201481979,201482479,"CSRP1",500
"chr15",41559843,41560343,"TYRO3",500
"chr15",88621343,88621843,"AEN",500
"chr20",6769049,6769549,"BMP2",500
"chr14",76762318,76762818,"VASH1",500
"chr17",79776968,79777468,"CBX2",500
"chr7",150993502,150994002,"NOS3",500
"chr3",185644504,185645004,"IGF2BP2",500
"chr6",34238509,34239009,"HMGA1",500
"chr12",47973934,47974434,"COL2A1",500
"chr5",83634990,83635490,"HAPLN1",500
"chr9",129888184,129888684,"FNBP1",500
"chr1",149901079,149901579,"SV2A",500
"chr16",28260154,28260654,"SBK1",500
"chr11",61753884,61754384,"MYRF",500
"chr5",76613499,76613999,"F2RL2",500
"chr13",39009234,39009734,"PROSER1",500
"chr9",86027438,86027938,"GOLM1",500
"chr17",44922588,44923088,"KIF18B",500
"chr6",2885809,2886309,"SERPINB9",500
"chr7",105440107,105440607,"PUS7",500
"chr17",4584272,4584772,"SMTNL2",500
"chr3",48158028,48158528,"CDC25A",500
"chr6",89096394,89096894,"SRSF12",500
"chr15",80780875,80781375,"CEMIP",500
"chr7",2630914,2631414,"TTYH3",500
"chr4",110044463,110044963,"ELOVL6",500
"chr1",89180006,89180506,"GBP4",500
"chr7",75531105,75531605,"HIP1",500
"chr22",27850505,27851005,"PITPNB",500
"chr9",131010094,131010594,"LAMC3",500
"chr1",89181777,89182277,"GBP4",500
"chr19",39411463,39411963,"PLEKHG2",500
"chr19",4904009,4904509,"UHRF1",500
"chr8",27633004,27633504,"SCARA3",500
"chr7",41961230,41961730,"GLI3",500
"chr18",72536423,72536923,"CBLN2",500
"chr16",51135970,51136470,"SALL1",500
"chr6",1609647,1610147,"FOXC1",500
"chr3",15450087,15450587,"COLQ",500
"chr4",2060995,2061495,"NAT8L",500
"chr5",76615119,76615619,"F2RL2",500
"chr2",205682925,205683425,"NRP2",500
"chr21",33643054,33643554,"ITSN1",500
"chr6",20401290,20401790,"E2F3",500
"chr7",105439461,105439961,"PUS7",500
"chr19",795791,796291,"PTBP1",500
"chr22",21417343,21417843,"HIC2",500
"chr18",10455230,10455730,"APCDD1",500
"chr16",1151778,1152278,"CACNA1H",500
"chr11",35943306,35943806,"LDLRAD3",500
"chr17",73332376,73332876,"SDK2",500
"chr8",125430728,125431228,"TRIB1",500
"chr3",184560598,184561098,"EPHB3",500
"chr17",55717831,55718331,"TMEM100",500
"chr16",23834735,23835235,"PRKCB",500
"chr9",71680972,71681472,"CEMIP2",500
"chr15",101174400,101174900,"CHSY1",500
"chr8",125430652,125431152,"TRIB1",500
"chr1",167720854,167721354,"MPZL1",500
"chr13",26559038,26559538,"WASF3",500
"chr11",35946424,35946924,"LDLRAD3",500
"chr9",78298406,78298906,"PSAT1",500
"chr13",39007029,39007529,"PROSER1",500
"chr6",107064645,107065145,"BEND3",500
"chr21",45405945,45406445,"COL18A1",500
"chr17",48996003,48996503,"IGF2BP1",500
"chr6",142300956,142301456,"ADGRG6",500
"chr10",71213087,71213587,"UNC5B",500
"chr2",25228477,25228977,"DNMT3A",500
"chr9",128456566,128457066,"ODF2",500
"chr15",65530089,65530589,"HACD3",500
"chr6",89095528,89096028,"SRSF12",500
"chr6",25281060,25281560,"CARMIL1",500
"chr1",89181682,89182182,"GBP4",500
"chr3",15448588,15449088,"COLQ",500
"chr3",48156134,48156634,"CDC25A",500
"chr5",147388350,147388850,"DPYSL3",500
"chr9",91561800,91562300,"ROR2",500
"chr10",13162934,13163434,"MCM10",500
"chr4",108046932,108047432,"LEF1",500
"chr11",61753358,61753858,"MYRF",500
"chr9",114333373,114333873,"AKNA",500
"chr1",149925835,149926335,"MTMR11",500
"chr18",44682654,44683154,"SETBP1",500
"chr8",103150936,103151436,"BAALC-AS1",500
"chr6",117452386,117452886,"DCBLD1",500
"chr19",16113236,16113736,"RAB8A",500
"chr2",96337693,96338193,"NCAPH",500
"chr9",129886641,129887141,"FNBP1",500
"chr19",16113932,16114432,"RAB8A",500
"chr15",65531529,65532029,"HACD3",500
"chr9",87499152,87499652,"DAPK1",500
"chr1",157992972,157993472,"KIRREL1",500
"chr17",42825300,42825800,"PSME3",500
"chr17",41813906,41814406,"FKBP10",500
"chrX",9786463,9786963,"SHROOM2",500
"chr15",101175946,101176446,"CHSY1",500
"chr11",69640697,69641197,"CCND1",500
"chr14",70642004,70642504,"TTC9",500
"chr1",43989738,43990238,"SLC6A9",500
"chr1",21596828,21597328,"RAP1GAP",500
"chr10",13163699,13164199,"MCM10",500
"chr2",1632480,1632980,"PXDN",500
"chr21",45492386,45492886,"SLC19A1",500
"chr5",168663192,168663692,"SLIT3",500
"chr1",40979230,40979730,"CTPS1",500
"chr12",44505495,44505995,"NELL2",500
"chr1",21217504,21218004,"ECE1",500
"chrX",9786130,9786630,"SHROOM2",500
"chr16",46689397,46689897,"ORC6",500
"chr9",87496778,87497278,"DAPK1",500
"chr19",39413838,39414338,"PLEKHG2",500
"chr19",29814892,29815392,"CCNE1",500
"chr1",38991278,38991778,"AKIRIN1",500
"chr9",128456951,128457451,"ODF2",500
"chr17",42752236,42752736,"RAMP2-AS1",500
"chr3",101828627,101829127,"NFKBIZ",500
"chr5",34659106,34659606,"RAI14",500
"chr6",142301813,142302313,"ADGRG6",500
"chr1",167722115,167722615,"MPZL1",500
"chr3",186046708,186047208,"ETV5",500
"chr19",798230,798730,"PTBP1",500
"chr3",196935036,196935536,"NCBP2",500
"chr6",20401623,20402123,"E2F3",500
"chr5",76615951,76616451,"F2RL2",500
"chr16",28261012,28261512,"SBK1",500
"chr1",913894,914394,"LINC02593",500
"chr12",65824958,65825458,"HMGA2",500
"chr9",136492548,136493048,"NOTCH1",500
"chr17",1519058,1519558,"PITPNA",500
"chr2",218712265,218712765,"TTLL4",500
"chr19",29812101,29812601,"CCNE1",500
"chr13",38686019,38686519,"FREM2",500
"chr9",129884694,129885194,"FNBP1",500
"chr17",4583972,4584472,"SMTNL2",500
"chr10",5415034,5415534,"NET1",500
"chr16",56731076,56731576,"NUP93",500
"chr3",48156542,48157042,"CDC25A",500
"chrX",15463949,15464449,"BMX",500
"chr19",8062474,8062974,"FBN3",500
"chr1",38992535,38993035,"AKIRIN1",500
"chr11",125625141,125625641,"CHEK1",500
"chr6",20402971,20403471,"E2F3",500
"chr20",32193704,32194204,"PLAGL2",500
"chr5",32687714,32688214,"NPR3",500
"chr16",23837480,23837980,"PRKCB",500
"chr21",45404264,45404764,"COL18A1",500
"chr3",109325182,109325682,"DPPA4",500
"chr3",10028460,10028960,"FANCD2",500
"chr13",38688652,38689152,"FREM2",500
"chr1",206508071,206508571,"RASSF5",500
"chr9",78296216,78296716,"PSAT1",500
"chr9",86024018,86024518,"GOLM1",500
"chr9",113875772,113876272,"ZNF618",500
"chr15",101176919,101177419,"CHSY1",500
"chr15",88621601,88622101,"AEN",500
"chr2",68860385,68860885,"BMP10",500
"chr19",19387996,19388496,"GATAD2A",500
"chr3",139935376,139935876,"CLSTN2",500
"chrX",15464894,15465394,"BMX",500
"chr17",55719644,55720144,"TMEM100",500
"chr16",64941898,64942398,"CDH11",500
"chr10",71211864,71212364,"UNC5B",500
"chr6",25281402,25281902,"CARMIL1",500
"chr9",113877237,113877737,"ZNF618",500
"chr4",1794577,1795077,"FGFR3",500
"chr19",19386523,19387023,"GATAD2A",500
"chr16",51137023,51137523,"SALL1",500
"chr1",206509635,206510135,"RASSF5",500
"chr7",105439226,105439726,"PUS7",500
"chr10",121479715,121480215,"FGFR2",500
"chr3",15451611,15452111,"COLQ",500
"chr7",75531433,75531933,"HIP1",500
"chr1",21596158,21596658,"RAP1GAP",500
"chr7",150990307,150990807,"NOS3",500
"chr5",150295127,150295627,"ARSI",500
"chr4",108045582,108046082,"LEF1",500
"chr6",43077578,43078078,"PTK7",500
"chr5",76612600,76613100,"F2RL2",500
"chr17",73334464,73334964,"SDK2",500
"chr1",89181069,89181569,"GBP4",500
"chr10",121475539,121476039,"FGFR2",500
"chr12",44505580,44506080,"NELL2",500
"chr10",123706607,123707107,"CPXM2",500
"chrX",2828498,2828998,"GYG2",500
"chr2",25225091,25225591,"DNMT3A",500
"chr2",218713831,218714331,"TTLL4",500
"chr1",160118233,160118733,"ATP1A2",500
"chrX",71257642,71258142,"NONO",500
"chr19",19384736,19385236,"GATAD2A",500
"chr20",32190350,32190850,"PLAGL2",500
"chr21",45490698,45491198,"SLC19A1",500
"chr17",55719680,55720180,"TMEM100",500
"chr12",47973670,47974170,"COL2A1",500
"chr17",44925133,44925633,"KIF18B",500
"chr20",62819180,62819680,"COL9A3",500
"chr3",48158187,48158687,"CDC25A",500
"chr17",48997902,48998402,"IGF2BP1",500
"chr17",48997716,48998216,"IGF2BP1",500
"chr18",314230,314730,"COLEC12",500
"chr4",108048404,108048904,"LEF1",500
"chr6",47232972,47233472,"TNFRSF21",500
"chr6",43519834,43520334,"XPO5",500
"chr17",50107058,50107558,"SAMD14",500
"chr10",22535855,22536355,"PIP4K2A",500
"chr5",168660662,168661162,"SLIT3",500
"chr10",71211582,71212082,"UNC5B",500
"chr16",23837300,23837800,"PRKCB",500
"chr1",157994724,157995224,"KIRREL1",500
"chr3",186044937,186045437,"ETV5",500
"chr19",16113814,16114314,"RAB8A",500
"chr3",109324163,109324663,"DPPA4",500
"chr2",11483019,11483519,"GREB1",500
"chr12",65823200,65823700,"HMGA2",500
"chr2",11481215,11481715,"GREB1",500
"chr19",798419,798919,"PTBP1",500
"chr1",167719890,167720390,"MPZL1",500
"chr6",82361760,82362260,"TPBG",500
"chr5",34655032,34655532,"RAI14",500
"chr1",43992724,43993224,"SLC6A9",500
"chr19",16114700,16115200,"RAB8A",500
"chr7",101363350,101363850,"COL26A1",500
"chr20",32192376,32192876,"PLAGL2",500
"chr5",76717238,76717738,"F2R",500
"chr11",61753471,61753971,"MYRF",500
"chr5",168661410,168661910,"SLIT3",500
"chr11",119097350,119097850,"DPAGT1",500
"chr1",168077127,168077627,"GPR161",500
"chr3",184563202,184563702,"EPHB3",500
"chr2",205682746,205683246,"NRP2",500
"chr1",46248729,46249229,"RAD54L",500
"chr15",101175005,101175505,"CHSY1",500
"chr9",136796739,136797239,"CCDC183",500
"chr6",82365053,82365553,"TPBG",500
"chr17",62967255,62967755,"TANC2",500
"chr11",125164199,125164699,"PKNOX2",500
"chr7",41958891,41959391,"GLI3",500
"chr1",29239239,29239739,"PTPRU",500
"chr11",61753530,61754030,"MYRF",500
"chr7",69597312,69597812,"AUTS2",500
"chr10",123703898,123704398,"CPXM2",500
"chrX",71254532,71255032,"NONO",500
"chr2",11481350,11481850,"GREB1",500
"chr12",74536455,74536955,"ATXN7L3B",500
"chr12",65826913,65827413,"HMGA2",500
"chr18",10456027,10456527,"APCDD1",500
"chr16",68638589,68639089,"CDH3",500
"chrX",71256456,71256956,"NONO",500
"chr16",1153144,1153644,"CACNA1H",500
"chr17",50562214,50562714,"CACNA1G",500
"chr17",42753022,42753522,"RAMP2-AS1",500
"chr19",36712535,36713035,"ZNF850",500
"chr18",314238,314738,"COLEC12",500
"chr19",4902794,4903294,"UHRF1",500
"chr3",101827862,101828362,"NFKBIZ",500
"chr4",1793686,1794186,"FGFR3",500
"chr9",86025362,86025862,"GOLM1",500
"chr3",15448039,15448539,"COLQ",500
"chr11",119095639,119096139,"DPAGT1",500
"chr15",41557780,41558280,"TYRO3",500
"chr5",32688836,32689336,"NPR3",500
"chr9",131010289,131010789,"LAMC3",500
"chr2",11483126,11483626,"GREB1",500
"chr3",10028701,10029201,"FANCD2",500
"chr16",46691599,46692099,"ORC6",500
"chr10",15514575,15515075,"ITGA8",500
"chr9",136494442,136494942,"NOTCH1",500
"chr10",123706697,123707197,"CPXM2",500
"chr16",64943160,64943660,"CDH11",500
"chr9",91561915,91562415,"ROR2",500
"chr13",38687481,38687981,"FREM2",500
"chr3",10026371,10026871,"FANCD2",500
"chr20",6766771,6767271,"BMP2",500
"chr1",46249366,46249866,"RAD54L",500
"chr17",55718369,55718869,"TMEM100",500
"chr5",150296174,150296674,"ARSI",500
"chr17",1516533,1517033,"PITPNA",500
"chr11",69642192,69642692,"CCND1",500
"chr3",152836561,152837061,"P2RY1",500
"chr11",125626533,125627033,"CHEK1",500
"chr3",185643505,185644005,"IGF2BP2",500
"chr9",136798280,136798780,"CCDC183",500
"chr9",136796987,136797487,"CCDC183",500
"chr15",89576638,89577138,"TICRR",500
"chr19",39415572,39416072,"PLEKHG2",500
"chr5",32690740,32691240,"NPR3",500
"chr1",64471728,64472228,"CACHD1",500
"chr11",125166603,125167103,"PKNOX2",500
"chr2",96335483,96335983,"NCAPH",500
"chr6",47232808,47233308,"TNFRSF21",500
"chr3",15450280,15450780,"COLQ",500
"chr1",89179923,89180423,"GBP4",500
"chr1",168079872,168080372,"GPR161",500
"chr3",48156499,48156999,"CDC25A",500
"chr2",205682703,205683203,"NRP2",500
"chr6",34238713,34239213,"HMGA1",500
"chr15",88621213,88621713,"AEN",500
"chr14",70644123,70644623,"TTC9",500
"chr16",23838310,23838810,"PRKCB",500
"chr1",154155179,154155679,"TPM3",500
"chrX",132026107,132026607,"STK26",500
"chr4",4348482,4348982,"NSG1",500
"chr17",48999025,48999525,"IGF2BP1",500
"chr16",87830063,87830563,"SLC7A5",500
"chr3",15447932,15448432,"COLQ",500
"chr6",89097040,89097540,"SRSF12",500
"chr1",40981831,40982331,"CTPS1",500
"chr5",168661585,168662085,"SLIT3",500
"chr5",76612518,76613018,"F2RL2",500
"chr6",82365765,82366265,"TPBG",500
"chr6",107062369,107062869,"BEND3",500
"chr1",201482620,201483120,"CSRP1",500
"chr21",31118270,31118770,"TIAM1",500
"chr11",77068960,77069460,"CAPN5",500
"chr9",78297846,78298346,"PSAT1",500
"chr6",2886984,2887484,"SERPINB9",500
"chr6",43074807,43075307,"PTK7",500
"chr16",51136831,51137331,"SALL1",500
"chr2",68857917,68858417,"BMP10",500
"chr16",23834499,23834999,"PRKCB",500
"chr10",121478504,121479004,"FGFR2",500
"chr1",201482054,201482554,"CSRP1",500
"chr11",61752938,61753438,"MYRF",500
"chr6",43079088,43079588,"PTK7",500
"chr8",125431881,125432381,"TRIB1",500
"chr4",110046927,110047427,"ELOVL6",500
"chr6",117454889,117455389,"DCBLD1",500
"chr14",70643461,70643961,"TTC9",500
"chr20",6766800,6767300,"BMP2",500
"chr6",107062598,107063098,"BEND3",500
"chr4",1792040,1792540,"FGFR3",500
"chr3",13314025,13314525,"NUP210",500
"chr22",27849578,27850078,"PITPNB",500
"chr3",101830525,101831025,"NFKBIZ",500
"chr1",167723254,167723754,"MPZL1",500
"chr7",33904349,33904849,"BMPER",500
"chr6",43075047,43075547,"PTK7",500
"chr3",129976121,129976621,"TRH",500
"chr1",64471977,64472477,"CACHD1",500
"chr17",73334204,73334704,"SDK2",500
"chr1",154152907,154153407,"TPM3",500
"chr8",103152261,103152761,"BAALC-AS1",500
"chr6",2885381,2885881,"SERPINB9",500
"chr1",149926402,149926902,"MTMR11",500
"chr10",106571113,106571613,"SORCS1",500
"chr1",168077190,168077690,"GPR161",500
"chr20",6769008,6769508,"BMP2",500
"chr1",89179293,89179793,"GBP4",500
"chr1",154155524,154156024,"TPM3",500
"chr1",167720563,167721063,"MPZL1",500
"chr7",105438273,105438773,"PUS7",500
"chr2",215358011,215358511,"FN1",500
"chr12",44505395,44505895,"NELL2",500
"chr9",128456123,128456623,"ODF2",500
"chr11",77066658,77067158,"CAPN5",500
"chr16",64941526,64942026,"CDH11",500
"chr1",29235718,29236218,"PTPRU",500
"chr20",2793686,2794186,"CPXM1",500
"chr6",47230221,47230721,"TNFRSF21",500
"chr6",25281641,25282141,"CARMIL1",500
"chr6",1610123,1610623,"FOXC1",500
"chr9",136796835,136797335,"CCDC183",500
"chr17",1517060,1517560,"PITPNA",500
"chr16",87827742,87828242,"SLC7A5",500
"chr2",215361247,215361747,"FN1",500
"chr6",1610435,1610935,"FOXC1",500
"chr11",69641090,69641590,"CCND1",500
"chr1",40979309,40979809,"CTPS1",500
"chr17",48996244,48996744,"IGF2BP1",500
"chr3",13314285,13314785,"NUP210",500
"chr1",29239194,29239694,"PTPRU",500
"chr1",156719609,156720109,"ISG20L2",500
"chr5",150295151,150295651,"ARSI",500
