sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_12	sample_13	sample_14	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40
NM_012097	4	1	2	6	3	2	10	3	5	3	2	6	4	4	7	15	9	6	0	2	1	19	5	9	9	1	3	3	3	2	10	6	6	6	14	9	1
ENST00000361897.5	8	8	8	27	8	17	31	44	12	6	10	17	22	27	7	16	15	4	9	9	8	8	18	16	12	13	10	16	11	13	19	11	17	12	9	7	5
NM_012094	1	3	7	1	1	1	2	0	3	1	1	2	4	1	3	3	2	4	2	5	3	8	4	4	3	0	1	4	3	0	2	0	1	5	20	8	1
NR_033191	1	0	0	2	0	0	3	0	0	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	2	0	0	1	1	1	0	0	1	1	1	0	0
NM_001018139	0	1	3	3	1	0	1	3	1	5	1	1	3	4	7	5	7	2	1	4	2	9	3	4	6	0	1	2	4	1	3	2	1	7	24	18	0
NM_012093	0	1	0	0	0	2	0	2	0	0	2	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NR_033193	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	1	0	0	1	0	3	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0
ENST00000331373.5	0	0	6	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	2	0	1	1	1	1	0	2	0	0	0	0	1	1	2	4	6	0
NM_012089	1	1	2	1	1	1	1	1	3	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	5	0	1	5	3	1
NM_001129908	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENST00000334025.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NM_024067	0	1	1	1	1	1	2	0	0	0	0	0	1	1	1	1	0	0	1	1	1	4	2	0	1	2	1	0	0	0	0	1	1	1	1	2	0
NM_024066	2	2	2	1	3	1	1	2	2	4	1	1	1	1	4	2	1	1	1	5	2	3	1	2	1	2	1	1	1	3	5	1	1	2	8	2	1
NM_024060	67	79	89	105	98	40	45	39	26	53	44	79	141	93	153	257	53	154	72	149	70	700	133	125	69	10	87	48	106	32	206	67	273	144	475	240	28
ENST00000308191.6	0	0	0	1	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
TCONS_00017926	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NM_024029	2	1	1	0	0	1	2	0	1	1	0	2	2	2	0	0	2	0	0	1	0	1	0	0	1	0	0	1	1	2	1	0	0	1	1	5	0
ENST00000509436.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
NM_000059	1	0	6	3	2	1	1	2	0	2	1	1	4	1	4	3	2	1	2	2	2	5	2	1	3	1	2	0	0	0	4	1	1	2	12	3	4
ENST00000358232.6	1	1	3	5	1	1	2	1	0	3	1	1	1	2	1	2	2	4	2	4	1	4	1	4	4	2	1	0	2	3	1	3	5	1	8	6	1
NM_000057	0	0	1	0	1	0	0	0	1	1	0	1	2	1	2	0	1	0	1	1	0	1	0	0	2	0	0	0	1	1	0	2	1	1	1	1	0
NM_000056	6	7	13	12	5	8	14	4	11	7	9	11	20	15	7	11	16	7	5	3	3	16	11	10	10	2	5	5	15	13	11	18	4	11	15	9	10
NM_013375	1	0	2	2	0	1	0	0	0	0	0	0	1	1	0	0	2	1	2	1	1	0	1	0	2	1	1	0	0	0	2	0	1	0	4	2	0
NM_001386	1	35	1	1	1	3	2	1	60	1	22	1	1	18	32	3	1	28	2	2	1	2	1	1	6	25	2	1	22	51	3	40	3	2	2	32	37
NM_052972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
NM_013374	2	2	6	2	2	2	5	1	3	4	1	2	6	4	6	5	5	1	3	4	2	4	0	3	4	0	0	0	3	4	5	4	3	4	8	9	4
NM_001388	1	1	1	1	0	0	1	0	0	0	0	2	1	1	1	1	3	0	1	0	1	1	1	0	2	0	1	0	0	1	0	1	0	1	6	2	1
NM_013373	2	0	3	1	1	0	0	0	0	1	0	4	2	1	2	2	0	2	0	0	3	5	0	1	4	1	0	0	1	1	1	1	0	1	7	6	0
NM_052970	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	2	2	0
NM_001389	1	0	3	0	2	0	1	1	4	1	1	1	3	5	2	4	5	1	1	1	1	2	1	1	2	1	1	2	0	4	1	2	4	2	9	1	2
ENST00000518129.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENST00000308824.6	1	0	2	2	1	1	2	4	0	1	0	3	0	1	1	4	0	2	1	2	1	5	2	3	2	1	2	0	1	0	2	3	4	2	4	1	1
NM_013369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NM_013367	1	1	4	1	1	1	1	1	2	1	1	1	1	1	1	0	4	1	1	1	1	2	1	2	0	3	1	1	4	3	2	4	2	3	2	6	3
NM_014698	1	1	2	1	2	1	2	0	1	0	0	1	2	4	1	1	2	2	1	0	3	1	1	1	2	0	1	2	1	2	1	1	1	2	6	1	0
NM_013366	1	0	1	1	2	1	1	1	1	2	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	2	2	1
NM_014697	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	2	2	0	0	1	0	0
NM_001395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NM_001396	1	2	2	3	2	1	2	1	3	0	1	2	2	1	0	0	1	1	2	1	1	3	2	2	1	0	1	0	1	2	0	3	1	3	3	2	1
NM_014696	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007471	1	0	1	0	0	1	2	1	0	2	1	0	3	1	1	2	1	1	1	1	1	1	2	2	1	1	1	0	1	1	1	1	0	3	1	2	1
NM_024032	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	2	0	1
NM_024031	1	0	0	0	0	0	0	1	1	0	0	0	2	1	2	0	2	2	1	0	2	2	1	2	2	1	0	0	0	0	0	1	0	1	2	0	1
NM_000064	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	3	1	0	0
ENST00000310298.4	1	4	14	3	6	4	7	4	4	6	6	2	7	6	7	8	2	2	2	5	3	9	6	4	3	6	4	1	5	2	8	12	8	4	16	6	5
NM_000062	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	2	3	1	0
NM_000061	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_000060	1	1	0	1	1	0	1	2	2	0	1	1	1	1	2	1	1	0	1	3	3	0	1	0	0	0	2	1	1	0	2	0	5	2	4	2	0
ENST00000040738.5	1	1	2	1	1	1	1	1	2	0	1	1	1	1	3	1	1	0	0	1	1	1	1	0	2	0	0	1	0	2	1	2	1	1	4	1	1
ENST00000453730.2	1	1	1	1	0	0	0	2	1	0	0	1	1	1	1	0	0	0	0	0	0	2	1	1	0	0	0	1	0	1	0	0	2	0	3	0	0
NM_052966	9	2	1	1	2	1	2	1	1	4	1	16	14	4	11	1	1	17	1	2	6	88	1	3	2	10	2	1	2	2	2	1	2	1	5	4	6
ENST00000586606.2	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	1	0	1	2	2	0
NM_001080125	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCONS_l2_00011429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_024036	0	0	8	1	2	0	0	1	0	0	0	2	1	2	2	1	1	0	1	0	2	15	2	2	5	1	0	3	0	0	2	0	1	5	14	3	0
NM_000047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NM_000046	1	0	1	0	1	0	1	1	1	2	1	1	0	2	1	1	2	1	1	1	2	1	1	2	4	0	1	0	0	1	1	1	1	1	6	1	0
NM_052964	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NM_024038	1	4	1	1	0	1	1	1	0	1	1	0	2	1	3	1	2	1	1	1	3	11	1	1	3	0	2	1	3	2	2	1	1	1	11	2	1
ENST00000431443.2	1	1	0	0	0	1	1	0	0	0	4	2	3	1	0	0	1	0	1	3	0	2	2	2	1	3	0	0	0	0	2	3	2	1	0	1	0
NM_052963	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
NM_000044	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
NM_024037	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
NM_001375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
NM_001376	14	13	2	18	12	2	13	1	1	11	2	9	19	22	27	2	24	1	1	2	2	2	22	1	1	5	9	2	14	9	1	2	1	3	8	2	10
NM_013363	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0
NM_052960	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
NM_013362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NM_001378	3	3	4	3	3	1	7	1	5	2	0	8	7	3	7	10	3	4	6	5	3	8	6	8	5	4	2	3	4	7	12	7	1	7	11	7	3
NM_013361	1	1	4	0	2	1	2	1	0	1	0	0	4	0	0	2	1	2	2	2	1	4	1	2	1	1	1	1	3	1	5	7	0	2	6	5	0
NM_014691	2	2	4	2	2	1	5	2	2	3	2	3	3	2	2	2	4	2	3	2	2	2	2	3	1	2	3	2	3	4	3	2	2	5	4	3	1
NM_001379	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	3	1	0
NM_001018115	2	1	4	3	5	1	1	1	1	1	1	1	2	1	2	4	1	2	0	0	2	5	1	0	1	1	1	1	0	1	2	1	5	4	1	1	1
TCONS_l2_00023407	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NM_001380	9	17	29	20	18	11	28	14	36	20	19	17	31	20	16	27	30	11	14	12	16	38	15	27	29	18	14	7	8	22	26	20	16	20	72	47	10
NM_001018113	1	1	1	1	0	1	0	1	1	1	0	2	4	3	1	1	0	1	1	0	0	0	0	2	1	1	1	1	1	2	0	1	1	1	3	3	0
NM_013359	0	1	2	0	0	0	0	0	1	0	2	1	1	1	0	0	2	2	0	0	2	2	0	0	2	1	0	0	1	0	1	1	0	1	2	1	2
NM_014689	1	2	1	1	2	1	2	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	2	1	0	1
NM_001018112	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	2	0	2	0	0	2	0	0	1	2	0	1	0	1	2	3	1	0
ENST00000560323.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NM_014688	1	2	7	3	1	0	1	3	2	5	2	1	6	3	4	2	4	1	1	1	3	1	5	2	1	4	1	2	4	1	1	6	2	1	11	2	2
NM_001382	1	0	1	1	1	1	1	1	1	1	0	2	0	0	1	1	0	2	0	1	3	1	0	0	2	0	0	0	0	1	1	0	1	1	6	3	0
NM_001018111	0	1	1	0	1	1	1	1	4	2	1	2	0	1	2	0	1	0	3	2	3	1	0	0	1	0	2	1	3	3	1	2	1	1	1	2	1
ENST00000478458.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001383	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NM_014686	0	1	1	1	2	1	2	1	0	1	1	0	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	2	1	1	0	2	2	5	2	0
NM_013355	0	0	0	1	0	1	1	1	1	1	2	1	0	1	1	2	1	2	1	1	1	3	2	0	1	2	1	0	4	1	2	0	1	1	7	2	1
NM_001384	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
NM_014685	1	0	1	1	1	1	0	1	0	2	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	2	1	0	1	2	1	0
NM_013354	1	2	3	1	1	0	1	2	1	1	0	2	1	2	1	3	3	1	1	2	1	10	2	3	1	1	1	1	0	1	1	2	2	2	5	3	3
ENST00000477593.1	1	1	2	1	2	2	2	2	1	1	1	1	4	2	1	2	1	0	2	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	2	1	2
NM_000053	1	1	3	1	1	1	4	1	1	1	0	1	1	1	5	2	1	1	0	2	0	5	1	1	1	1	1	1	0	0	2	4	1	2	4	3	0
NM_024042	0	0	2	0	0	0	1	0	1	0	0	0	0	1	1	2	0	0	1	2	0	3	0	2	0	0	1	1	0	0	0	2	1	0	12	6	0
NM_000052	1	0	1	1	1	1	1	1	1	0	1	2	1	1	2	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	3	1	2	1	2	1	1
NM_024045	0	1	2	2	1	1	1	1	2	2	2	1	3	1	4	3	2	1	1	1	1	6	1	3	3	1	1	1	2	2	3	4	2	1	3	5	2
NM_000051	1	1	2	1	1	1	1	1	3	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	2	4	2
