"transcriptName","anno"
"ENST00000431443.2","circRNA"
"NM_052963","circRNA"
"NM_000044","circRNA"
"NM_024037","circRNA"
"NM_001375","circRNA"
"NM_001376","circRNA"
"NM_013363","circRNA"
"NM_052960","circRNA"
"NM_013362","circRNA"
"NM_001378","circRNA"
"NM_013361","circRNA"
"NM_014691","circRNA"
"NM_001379","circRNA"
"NM_001018115","circRNA"
"TCONS_l2_00023407","circRNA"
"NM_001380","circRNA"
"NM_001018113","circRNA"
"NM_013359","circRNA"
"NM_014689","circRNA"
"NM_001018112","circRNA"
"ENST00000560323.1","circRNA"
"NM_014688","circRNA"
"NM_001382","circRNA"
"NM_001018111","circRNA"
"ENST00000478458.2","circRNA"
"NM_001383","circRNA"
"NM_014686","circRNA"
"NM_013355","circRNA"
"NM_001384","circRNA"
"NM_014685","circRNA"
"NM_013354","circRNA"
"ENST00000477593.1","circRNA"
"NM_000053","circRNA"
"NM_024042","circRNA"
"NM_000052","circRNA"
"NM_024045","circRNA"
"NM_000051","circRNA"
"NM_024044","circRNA"
"NM_000050","circRNA"
"ENST00000417684.2","circRNA"
"NM_001007467","circRNA"
"NM_024040","circRNA"
"NM_024007","circRNA"
"NM_052958","circRNA"
"NM_024006","circRNA"
"ENST00000553430.1","circRNA"
"NM_052951","circRNA"
"NM_013397","circRNA"
"NM_052950","circRNA"
"NM_013396","circRNA"
"NM_013393","circRNA"
"NM_012062","circRNA"
"NM_013392","circRNA"
"NM_013390","circRNA"
"NR_045196","circRNA"
"ENST00000356458.6","circRNA"
"ENST00000436985.2","circRNA"
"NM_013389","circRNA"
"NM_013388","circRNA"
"NM_001008781","circRNA"
"NM_000086","circRNA"
"ENST00000471236.1","circRNA"
"NM_024011","circRNA"
"NM_000082","circRNA"
"NM_000081","circRNA"
"NM_052947","circRNA"
"NM_001008778","circRNA"
"NM_052944","circRNA"
"NM_052943","circRNA"
"NM_000069","circRNA"
"ENST00000263997.5","circRNA"
"NM_052940","circRNA"
"NM_024015","circRNA"
"NM_013386","circRNA"
"ENST00000603233.1","circRNA"
"NM_001397","circRNA"
"NM_001398","circRNA"
"ENST00000464606.1","circRNA"
"NM_013382","circRNA"
"NM_013381","circRNA"
"TCONS_00013744_GAS5","circRNA"
"NM_013379","circRNA"
"ENST00000472434.1","circRNA"
"NM_013376","circRNA"
"NM_000075","circRNA"
"ENST00000238918.8","circRNA"
"NM_024022","circRNA"
"NM_000071","circRNA"
"NM_000070","circRNA"
"NM_001006114","circRNA"
"NM_000018","circRNA"
"NM_052936","circRNA"
"NM_000017","circRNA"
"NM_000016","circRNA"
"ENST00000480885.1","circRNA"
"NM_000014","circRNA"
"NM_015990","circRNA"
"NM_001006109","circRNA"
"ENST00000389821.4","circRNA"
"NM_015993","circRNA"
"NM_002673","circRNA"
"NM_014661","circRNA"
"NM_001343","circRNA"
"NM_013330","circRNA"
"NM_014660","circRNA"
"NM_001344","circRNA"
"NM_002676","circRNA"
"NM_001346","circRNA"
"NM_001347","circRNA"
"NM_001348","circRNA"
"NM_000019","circRNA"
"NM_001349","circRNA"
"NM_013328","circRNA"
"ENST00000322213.4","circRNA"
"NM_013326","circRNA"
"NM_014657","circRNA"
"ENST00000459407.1","circRNA"
"NM_013325","circRNA"
"ENST00000393452.3","circRNA"
"NM_014655","circRNA"
"ENST00000306917.4","circRNA"
"NM_014654","circRNA"
"ENST00000377893.2","circRNA"
"ENST00000563588.1","circRNA"
"NM_013321","circRNA"
"NM_014652","circRNA"
"NM_001352","circRNA"
"NM_000021","circRNA"
"NM_015983","circRNA"
"NM_000020","circRNA"
"NM_015984","circRNA"
"NM_015986","circRNA"
"NM_015989","circRNA"
"NM_052937","circRNA"
"NM_013329","circRNA"
"NM_052925","circRNA"
"NM_052924","circRNA"
"ENST00000319914.5","circRNA"
"NM_052920","circRNA"
"NM_013320","circRNA"
"NM_002662","circRNA"
"ENST00000254321.5","circRNA"
"NM_002663","circRNA"
"NM_001332","circRNA"
"NM_014650","circRNA"
"NM_003993","circRNA"
"NM_001081491","circRNA"
"NM_002664","circRNA"
"NM_001333","circRNA"
"NM_003995","circRNA"
"NM_001081492","circRNA"
"NM_003998","circRNA"
"ENST00000359087.4","circRNA"
"NM_001336","circRNA"
"NM_002668","circRNA"
"NM_001338","circRNA"
"NM_002669","circRNA"
"NM_003999","circRNA"
"NM_014648","circRNA"
"NM_014647","circRNA"
"NM_014646","circRNA"
"NM_013314","circRNA"
"NM_013313","circRNA"
"NM_014644","circRNA"
"NM_014643","circRNA"
"NM_013312","circRNA"
"ENST00000334635.5","circRNA"
"NM_015972","circRNA"
"NM_015973","circRNA"
"ENST00000336078.4","circRNA"
"ENST00000599616.1","circRNA"
"NM_015974","circRNA"
"NM_015975","circRNA"
"NM_015976","circRNA"
"NM_052929","circRNA"
"NM_052928","circRNA"
"NM_052927","circRNA"
"NM_013319","circRNA"
"NM_013318","circRNA"
"NM_015979","circRNA"
"NM_014649","circRNA"
"ENST00000329542.4","circRNA"
"ENST00000584770.1","circRNA"
"NM_000039","circRNA"
"ENST00000320640.6","circRNA"
"NM_052911","circRNA"
"NM_000037","circRNA"
"NM_000034","circRNA"
"NM_000033","circRNA"
"NM_002695","circRNA"
"NM_013353","circRNA"
"NM_001365","circRNA"
"NM_002696","circRNA"
"NM_014683","circRNA"
"NM_013352","circRNA"
"NM_001081461","circRNA"
"NM_014682","circRNA"
"NM_014681","circRNA"
"ENST00000395159.2","circRNA"
"NM_014680","circRNA"
"NM_001369","circRNA"
"NM_001370","circRNA"
"NM_014677","circRNA"
"NM_013346","circRNA"
"NM_014676","circRNA"
"NM_001373","circRNA"
"NM_014675","circRNA"
"NM_014674","circRNA"
"NM_000042","circRNA"
"NM_000041","circRNA"
"NM_000040","circRNA"
"ENST00000368626.3","circRNA"
"NM_052917","circRNA"
"NM_052916","circRNA"
"NM_001177611","circRNA"
"NM_000029","circRNA"
"NM_052903","circRNA"
"NM_000028","circRNA"
"NM_052902","circRNA"
"ENST00000451320.2","circRNA"
"ENST00000332598.6","circRNA"
"NM_000026","circRNA"
"NM_000022","circRNA"
"NM_014673","circRNA"
"NM_001353","circRNA"
"TCONS_l2_00010198","circRNA"
"NM_013341","circRNA"
"NM_014672","circRNA"
"NM_014671","circRNA"
"ENST00000358602.4","circRNA"
"NM_002686","circRNA"
"NM_001355","circRNA"
"NM_001356","circRNA"
"NM_002687","circRNA"
"NM_002689","circRNA"
"ENST00000553443.1","circRNA"
"NM_001358","circRNA"
"NM_001359","circRNA"
"NM_013339","circRNA"
"NM_014669","circRNA"
"NM_013338","circRNA"
"NM_014668","circRNA"
"NM_002690","circRNA"
"NM_013336","circRNA"
"NM_014667","circRNA"
"NM_013335","circRNA"
"NM_002691","circRNA"
"NM_001360","circRNA"
"ENST00000400104.3","circRNA"
"ENST00000476275.1","circRNA"
"NM_002692","circRNA"
"NM_013334","circRNA"
"NM_014665","circRNA"
"NM_001361","circRNA"
"NM_002693","circRNA"
"NM_014663","circRNA"
"NM_001363","circRNA"
"NM_013332","circRNA"
"NM_015994","circRNA"
"NM_000032","circRNA"
"NM_015995","circRNA"
"NM_000031","circRNA"
"NM_052909","circRNA"
"NM_000030","circRNA"
"NM_015997","circRNA"
"NM_052907","circRNA"
"NM_015999","circRNA"
"NM_052906","circRNA"
"ENST00000435880.2","circRNA"
"NM_052905","circRNA"
"ENST00000366933.4","circRNA"
"NM_052904","circRNA"
"NM_003969","circRNA"
"NM_002637","circRNA"
"NM_003968","circRNA"
"NM_002639","circRNA"
"NM_001008727","circRNA"
"NM_001008726","circRNA"
"ENST00000392744.4","circRNA"
"NM_001164273","circRNA"
"NM_003961","circRNA"
"NR_045128","circRNA"
"NM_002630","circRNA"
"NM_001300","circRNA"
"NM_002631","circRNA"
"NR_045129","circRNA"
"NM_003963","circRNA"
"ENST00000278198.2","circRNA"
"NM_001164276","circRNA"
"NM_002633","circRNA"
"NM_001164277","circRNA"
"NM_001303","circRNA"
"NM_002634","circRNA"
"NM_001304","circRNA"
"NM_003966","circRNA"
"ENST00000393608.1","circRNA"
"NM_014615","circRNA"
"NM_015947","circRNA"
"NM_014614","circRNA"
"NM_015948","circRNA"
"NM_014613","circRNA"
"NM_015949","circRNA"
"NM_014612","circRNA"
"TCONS_l2_00010193","circRNA"
"NM_014611","circRNA"
"TCONS_l2_00010194","circRNA"
"ENST00000518476.1","circRNA"
"NM_001164271","circRNA"
"NM_003970","circRNA"
"TCONS_l2_00010197","circRNA"
"NM_015941","circRNA"
"NM_015942","circRNA"
"NM_014619","circRNA"
"ENST00000371429.3","circRNA"
"ENST00000354897.3","circRNA"
"NM_001177634","circRNA"
"NM_014616","circRNA"
"NM_015946","circRNA"
"NM_003958","circRNA"
"NM_002627","circRNA"
"ENST00000399820.3","circRNA"
"ENST00000328834.5","circRNA"
"ENST00000423112.2","circRNA"
"NM_002629","circRNA"
"NM_003959","circRNA"
"NM_003950","circRNA"
"ENST00000255189.3","circRNA"
"ENST00000519065.1","circRNA"
"NM_003952","circRNA"
"NM_003951","circRNA"
"ENST00000361417.2","circRNA"
"NM_003954","circRNA"
"NM_003953","circRNA"
"NM_002624","circRNA"
"NM_015937","circRNA"
"NM_014603","circRNA"
"NM_015938","circRNA"
"NM_014602","circRNA"
"NM_014601","circRNA"
"ENST00000400357.2","circRNA"
"NM_015939","circRNA"
"NR_045147","circRNA"
"NR_033127","circRNA"
"NM_014608","circRNA"
"NM_015932","circRNA"
"NM_014607","circRNA"
"NM_014606","circRNA"
"NM_015934","circRNA"
"NM_015935","circRNA"
"NM_001008701","circRNA"
"NM_002659","circRNA"
"NM_001008707","circRNA"
"NM_014640","circRNA"
"NR_045105","circRNA"
"NM_001008709","circRNA"
"NM_002653","circRNA"
"ENST00000303032.6","circRNA"
"NM_001325","circRNA"
"NM_001326","circRNA"
"ENST00000332082.4","circRNA"
"NM_014637","circRNA"
"NM_015969","circRNA"
"NM_014636","circRNA"
"ENST00000233710.3","circRNA"
"ENST00000375003.2","circRNA"
"NM_013304","circRNA"
"NR_045110","circRNA"
"NM_014634","circRNA"
"NM_014633","circRNA"
"NM_013302","circRNA"
"NM_014632","circRNA"
"NM_002660","circRNA"
"NM_013300","circRNA"
"NM_014631","circRNA"
"NM_002661","circRNA"
"NM_014630","circRNA"
"ENST00000230461.6","circRNA"
"NM_015963","circRNA"
"NM_015965","circRNA"
"NM_014639","circRNA"
"NM_015967","circRNA"
"NM_002648","circRNA"
"NM_003979","circRNA"
"NM_002649","circRNA"
"NM_001319","circRNA"
"ENST00000453026.2","circRNA"
"NM_015960","circRNA"
"NR_045116","circRNA"
"NM_003972","circRNA"
"NM_003971","circRNA"
"NM_001310","circRNA"
"NM_001311","circRNA"
"NM_003973","circRNA"
"NM_001312","circRNA"
"NM_002645","circRNA"
"NM_001164245","circRNA"
"NM_002646","circRNA"
"NM_003978","circRNA"
"NM_001316","circRNA"
"NM_002647","circRNA"
"NM_003977","circRNA"
"ENST00000534275.1","circRNA"
"ENST00000429985.1","circRNA"
"NM_014624","circRNA"
"NM_014623","circRNA"
"NM_003981","circRNA"
"NM_003980","circRNA"
"NM_015950","circRNA"
"ENST00000317147.5","circRNA"
"NM_015953","circRNA"
"NM_015954","circRNA"
"NM_015955","circRNA"
"NM_001177665","circRNA"
"NM_014629","circRNA"
"NM_015956","circRNA"
"NM_002715","circRNA"
"NM_002716","circRNA"
"NM_002717","circRNA"
"NM_002718","circRNA"
"NM_002719","circRNA"
"ENST00000524981.3","circRNA"
"NM_145176","circRNA"
"ENST00000360566.2","circRNA"
"NM_002710","circRNA"
"ENST00000368149.2","circRNA"
"NM_002712","circRNA"
"NM_001164356","circRNA"
"NM_145170","circRNA"
"ENST00000302060.5","circRNA"
"NM_001114093","circRNA"
"NM_145169","circRNA"
"NM_001114091","circRNA"
"ENST00000337130.5","circRNA"
"ENST00000378482.2","circRNA"
"NM_002703","circRNA"
"ENST00000505560.1","circRNA"
"ENST00000373695.1","circRNA"
"NM_002705","circRNA"
"NM_002706","circRNA"
"NM_002708","circRNA"
"NM_002709","circRNA"
"ENST00000307363.5","circRNA"
"NM_145185","circRNA"
"ENST00000531527.1","circRNA"
"NM_001164343","circRNA"
"NM_001164346","circRNA"
"ENST00000234827.1","circRNA"
"ENST00000215659.8","circRNA"
"NM_002736","circRNA"
"NM_001405","circRNA"
"NM_002737","circRNA"
"NM_001407","circRNA"
"NM_002738","circRNA"
"NM_001408","circRNA"
"NM_001409","circRNA"
"NM_001127392","circRNA"
"NM_183422","circRNA"
"ENST00000393609.3","circRNA"
"NM_001127393","circRNA"
"NM_183421","circRNA"
"NM_002730","circRNA"
"NM_145197","circRNA"
"NM_002731","circRNA"
"NM_001127395","circRNA"
"ENST00000457331.1","circRNA"
"NM_001402","circRNA"
"NM_002735","circRNA"
"NM_001404","circRNA"
"NM_014714","circRNA"
"NM_014713","circRNA"
"NM_014712","circRNA"
"NM_014711","circRNA"
"ENST00000463407.1","circRNA"
"NM_014719","circRNA"
"NM_014718","circRNA"
"NM_014717","circRNA"
"NM_014716","circRNA"
"NM_002726","circRNA"
"NM_002727","circRNA"
"ENST00000533290.1","circRNA"
"ENST00000477019.1","circRNA"
"NM_002729","circRNA"
"ENST00000393239.1","circRNA"
"NM_002720","circRNA"
"NM_014703","circRNA"
"ENST00000378505.2","circRNA"
"NM_014700","circRNA"
"NM_014709","circRNA"
"NM_014708","circRNA"
"NM_014706","circRNA"
"ENST00000264716.4","circRNA"
"NM_014705","circRNA"
"ENST00000376215.5","circRNA"
"NM_014704","circRNA"
"ENST00000454584.2","circRNA"
"NM_001164315","circRNA"
"NM_183404","circRNA"
"ENST00000427718.2","circRNA"
"NM_001164317","circRNA"
"ENST00000382148.3","circRNA"
"ENST00000359827.3","circRNA"
"ENST00000493669.1","circRNA"
"ENST00000395996.1","circRNA"
"ENST00000265174.4","circRNA"
"ENST00000448927.1","circRNA"
"NM_001126056","circRNA"
"NM_001126055","circRNA"
"NR_023847","circRNA"
"ENST00000452532.1","circRNA"
"ENST00000359684.2","circRNA"
"NM_183419","circRNA"
"NR_033200","circRNA"
"ENST00000514743.1","circRNA"
"ENST00000256637.6","circRNA"
"NM_001127358","circRNA"
"NM_001127357","circRNA"
"NM_133170","circRNA"
"NM_133171","circRNA"
"ENST00000359707.4","circRNA"
"ENST00000425178.1","circRNA"
"ENST00000359697.3","circRNA"
"ENST00000411936.1","circRNA"
"ENST00000393359.2","circRNA"
"ENST00000555004.1","circRNA"
"NM_001127361","circRNA"
"ENST00000522714.1","circRNA"
"ENST00000596341.1","circRNA"
"NM_145160","circRNA"
"NM_133180","circRNA"
"ENST00000458078.1","circRNA"
"ENST00000311506.5","circRNA"
"ENST00000389834.4","circRNA"
"ENST00000533050.1","circRNA"
"NM_001142966","circRNA"
"ENST00000521861.1","circRNA"
"ENST00000496391.1","circRNA"
"NM_001129993","circRNA"
"ENST00000369838.4","circRNA"
"ENST00000394926.3","circRNA"
"NM_001130981","circRNA"
"ENST00000596831.1","circRNA"
"ENST00000473645.2","circRNA"
"ENST00000404816.2","circRNA"
"ENST00000462410.1","circRNA"
"NM_001033857","circRNA"
"ENST00000562840.1","circRNA"
"NM_001033858","circRNA"
"ENST00000543802.2","circRNA"
"ENST00000445069.2","circRNA"
"NM_134442","circRNA"
"ENST00000313640.7","circRNA"
"NM_134444","circRNA"
"NM_134447","circRNA"
"ENST00000541778.1","circRNA"
"TCONS_l2_00000747","circRNA"
"NM_001130992","circRNA"
"ENST00000373468.1","circRNA"
"ENST00000396081.1","circRNA"
"ENST00000265437.5","circRNA"
"ENST00000254958.5","circRNA"
"ENST00000273038.3","circRNA"
"ENST00000454104.1","circRNA"
"ENST00000313400.4","circRNA"
"ENST00000596964.1","circRNA"
"NM_001130969","circRNA"
"NM_001130963","circRNA"
"NM_001130965","circRNA"
"NM_001130961","circRNA"
"ENST00000282185.3","circRNA"
"ENST00000356577.4","circRNA"
"NM_145109","circRNA"
"ENST00000252032.9","circRNA"
"NM_147780","circRNA"
"ENST00000478089.1","circRNA"
"NM_147781","circRNA"
"TCONS_00015354","circRNA"
"ENST00000564271.1","circRNA"
"TCONS_00015357","circRNA"
"ENST00000395529.3","circRNA"
"ENST00000357537.3","circRNA"
"NM_001127320","circRNA"
"ENST00000479630.1","circRNA"
"NM_001127322","circRNA"
"ENST00000334528.9","circRNA"
"NM_001127325","circRNA"
"NM_145117","circRNA"
"NM_001130979","circRNA"
"ENST00000299308.3","circRNA"
"NM_145115","circRNA"
"NM_001127328","circRNA"
"NM_145113","circRNA"
"ENST00000261716.3","circRNA"
"ENST00000321027.3","circRNA"
"NM_001128620","circRNA"
"NM_001018088","circRNA"
"NM_001128626","circRNA"
"ENST00000517408.1","circRNA"
"ENST00000261609.7","circRNA"
"ENST00000367178.3","circRNA"
"ENST00000233114.8","circRNA"
"TCONS_00017990","circRNA"
"ENST00000304363.4","circRNA"
"ENST00000509925.1","circRNA"
"NM_001130955","circRNA"
"NM_001104647","circRNA"
"ENST00000457714.1","circRNA"
"NM_001130957","circRNA"
"NM_001018077","circRNA"
"ENST00000262043.3","circRNA"
"ENST00000444190.1","circRNA"
"TCONS_00004684","circRNA"
"NM_001018074","circRNA"
"NM_001018072","circRNA"
"NM_001142928","circRNA"
"ENST00000314759.5","circRNA"
"ENST00000458448.1","circRNA"
"ENST00000340208.5","circRNA"
"ENST00000392133.3","circRNA"
"NM_001130915","circRNA"
"NM_024090","circRNA"
"NM_001130923","circRNA"
"NM_001130924","circRNA"
"NM_024092","circRNA"
"NM_001018067","circRNA"
"NM_001018065","circRNA"
"NM_001130921","circRNA"
"NM_024097","circRNA"
"NM_001128608","circRNA"
"NM_024099","circRNA"
"NM_024094","circRNA"
"NM_024096","circRNA"
"ENST00000428809.1","circRNA"
"NM_024095","circRNA"
"NM_134428","circRNA"
"ENST00000369682.3","circRNA"
"ENST00000388996.4","circRNA"
"NM_134421","circRNA"
"NM_134424","circRNA"
"NM_001130927","circRNA"
"NM_001128611","circRNA"
"ENST00000428666.1","circRNA"
"NM_001018056","circRNA"
"NM_001128615","circRNA"
"NM_001128616","circRNA"
"ENST00000193322.3","circRNA"
"NM_001128619","circRNA"
"NM_001018050","circRNA"
"ENST00000602632.1","circRNA"
"ENST00000499521.2","circRNA"
"ENST00000426016.1","circRNA"
"ENST00000556826.1","circRNA"
"NM_012199","circRNA"
"ENST00000524145.1","circRNA"
"ENST00000244061.2","circRNA"
"ENST00000445174.1","circRNA"
"ENST00000546109.1","circRNA"
"ENST00000428679.2","circRNA"
"ENST00000374762.3","circRNA"
"NM_012190","circRNA"
"NM_001083953","circRNA"
"ENST00000539310.1","circRNA"
"ENST00000391411.5","circRNA"
"NM_012197","circRNA"
"NM_012194","circRNA"
"NM_012192","circRNA"
"NM_012189","circRNA"
"ENST00000381298.2","circRNA"
"ENST00000403951.2","circRNA"
"TCONS_l2_00022231","circRNA"
"ENST00000246505.5","circRNA"
"ENST00000412490.3","circRNA"
"ENST00000543949.1","circRNA"
"NM_001083914","circRNA"
"TCONS_l2_00023557","circRNA"
"TCONS_l2_00023558","circRNA"
"ENST00000443149.2","circRNA"
"TCONS_l2_00023559","circRNA"
"ENST00000539563.1","circRNA"
"NM_001032383","circRNA"
"ENST00000268797.7","circRNA"
"ENST00000529051.1","circRNA"
"NR_045286","circRNA"
"ENST00000280527.2","circRNA"
"TCONS_l2_00022219","circRNA"
"ENST00000394282.4","circRNA"
"NM_000179","circRNA"
"NM_000178","circRNA"
"ENST00000325599.8","circRNA"
"NM_012164","circRNA"
"ENST00000443029.1","circRNA"
"ENST00000307851.4","circRNA"
"NM_012162","circRNA"
"NM_012160","circRNA"
"ENST00000381668.5","circRNA"
"ENST00000472910.1","circRNA"
"ENST00000434837.2","circRNA"
"NM_012157","circRNA"
"NM_012158","circRNA"
"NM_012155","circRNA"
"NM_001044385","circRNA"
"NM_012156","circRNA"
"NM_000186","circRNA"
"NM_000184","circRNA"
"ENST00000263985.6","circRNA"
"NM_000183","circRNA"
"NM_000182","circRNA"
"ENST00000379931.3","circRNA"
"NM_000181","circRNA"
"NM_000168","circRNA"
"TCONS_l2_00009247","circRNA"
"ENST00000451321.2","circRNA"
"NM_000165","circRNA"
"ENST00000266517.4","circRNA"
"NM_001496","circRNA"
"NM_012154","circRNA"
"NM_001497","circRNA"
"ENST00000361669.2","circRNA"
"NM_001498","circRNA"
"NM_001499","circRNA"
"NM_012152","circRNA"
"TCONS_l2_00012876","circRNA"
"ENST00000331134.6","circRNA"
"ENST00000535366.1","circRNA"
"NM_012145","circRNA"
"NM_000175","circRNA"
"ENST00000388768.2","circRNA"
"NM_000170","circRNA"
"TCONS_l2_00011537","circRNA"
"NM_001083965","circRNA"
"NM_001083962","circRNA"
"NM_001083961","circRNA"
"NM_000199","circRNA"
"NM_012181","circRNA"
"ENST00000375231.1","circRNA"
"NM_012179","circRNA"
"ENST00000512680.1","circRNA"
"NM_012177","circRNA"
"ENST00000406462.1","circRNA"
"NM_001083956","circRNA"
"ENST00000486274.1","circRNA"
"NM_000189","circRNA"
"NM_000187","circRNA"
"NM_012171","circRNA"
"TCONS_l2_00024837","circRNA"
"ENST00000219139.3","circRNA"
"ENST00000541287.1","circRNA"
"ENST00000303391.6","circRNA"
"ENST00000263388.2","circRNA"
"ENST00000260361.4","circRNA"
"NM_012166","circRNA"
"NM_000196","circRNA"
"NM_000195","circRNA"
"NM_001007561","circRNA"
"NM_000194","circRNA"
"ENST00000551631.2","circRNA"
"NM_001008895","circRNA"
"ENST00000381272.4","circRNA"
"NM_000192","circRNA"
"NM_000191","circRNA"
"NM_000190","circRNA"
"NM_024106","circRNA"
"NM_000138","circRNA"
"NM_024105","circRNA"
"NM_000137","circRNA"
"NM_024108","circRNA"
"NM_001007559","circRNA"
"NM_000136","circRNA"
"NM_000135","circRNA"
"NM_024102","circRNA"
"NM_024101","circRNA"
"NM_024104","circRNA"
"NM_001251962","circRNA"
"NM_024103","circRNA"
"NM_000132","circRNA"
"NM_012120","circRNA"
"NM_002794","circRNA"
"NM_014783","circRNA"
"NM_013451","circRNA"
"NM_002795","circRNA"
"NM_014781","circRNA"
"NM_013450","circRNA"
"NM_002796","circRNA"
"NR_045208","circRNA"
"NM_002798","circRNA"
"NM_002799","circRNA"
"NM_024109","circRNA"
"NM_001469","circRNA"
"ENST00000355114.5","circRNA"
"ENST00000478300.1","circRNA"
"NM_013449","circRNA"
"NM_013448","circRNA"
"ENST00000376836.3","circRNA"
"NM_012118","circRNA"
"NM_012115","circRNA"
"NM_013447","circRNA"
"NM_014777","circRNA"
"NM_013446","circRNA"
"NM_012116","circRNA"
"ENST00000476287.1","circRNA"
"NM_012113","circRNA"
"NM_012114","circRNA"
"NM_013443","circRNA"
"NM_014774","circRNA"
"NM_012111","circRNA"
"NM_012112","circRNA"
"NM_014773","circRNA"
"NM_013442","circRNA"
"ENST00000349459.6","circRNA"
"NR_045214","circRNA"
"NM_194298","circRNA"
"NM_024111","circRNA"
"NM_024110","circRNA"
"ENST00000303177.3","circRNA"
"ENST00000314136.8","circRNA"
"ENST00000436639.2","circRNA"
"NM_194296","circRNA"
"NM_000127","circRNA"
"NM_024116","circRNA"
"NM_000126","circRNA"
"NM_024119","circRNA"
"NM_000124","circRNA"
"NM_024112","circRNA"
"NM_000122","circRNA"
"NM_001251971","circRNA"
"NR_045215","circRNA"
"NM_013441","circRNA"
"NM_014771","circRNA"
"NM_001455","circRNA"
"NM_002787","circRNA"
"NM_001456","circRNA"
"NM_002788","circRNA"
"NM_001458","circRNA"
"NM_002789","circRNA"
"NM_000129","circRNA"
"NM_012106","circRNA"
"NM_013438","circRNA"
"NM_013437","circRNA"
"NM_012104","circRNA"
"NM_012105","circRNA"
"NM_012102","circRNA"
"NM_014765","circRNA"
"NM_002790","circRNA"
"NM_002791","circRNA"
"NM_014764","circRNA"
"NM_014763","circRNA"
"NM_002792","circRNA"
"NM_013432","circRNA"
"NM_012100","circRNA"
"NM_014762","circRNA"
"NM_002793","circRNA"
