"chr","start","end"
"chr10",96366059,96366559
"chr1",153534180,153534680
"chr11",63996003,63996503
"chr2",18555706,18556206
"chr11",67417686,67418186
"chr15",57593417,57593917
"chr7",49774304,49774804
"chr8",47738154,47738654
"chr22",35606608,35607108
"chr4",152319061,152319561
"chr2",178526991,178527491
"chr2",219418257,219418757
"chr7",116524935,116525435
"chr19",36151058,36151558
"chr2",181955324,181955824
"chr14",33922824,33923324
"chr10",96366057,96366557
"chr2",18554593,18555093
"chr15",88896649,88897149
"chr12",7077365,7077865
"chr11",62685216,62685716
"chr5",81235848,81236348
"chr16",31425559,31426059
"chr3",53881717,53882217
"chr1",226939778,226940278
"chr11",63997608,63998108
"chr1",7783021,7783521
"chr19",10564547,10565047
"chr20",601769,602269
"chr17",75635106,75635606
"chr2",46542162,46542662
"chr4",57031627,57032127
"chrX",154672674,154673174
"chr6",99366842,99367342
"chr2",18552274,18552774
"chr11",108116025,108116525
"chr14",103937871,103938371
"chr1",26052199,26052699
"chr1",150257805,150258305
"chr8",40155282,40155782
"chr7",80369268,80369768
"chr1",205504268,205504768
"chr9",131292227,131292727
"chr13",113176151,113176651
"chr7",31749978,31750478
"chr2",69395771,69396271
"chr1",74237534,74238034
"chr2",86602791,86603291
"chr19",15114943,15115443
"chr15",70652864,70653364
"chr18",61806500,61807000
"chr15",70652433,70652933
"chr18",61807884,61808384
"chr16",57449292,57449792
"chr20",605123,605623
"chr2",237861300,237861800
"chr9",68704598,68705098
"chr1",153533938,153534438
"chr15",43869103,43869603
"chr2",69395444,69395944
"chr5",151023568,151024068
"chr6",162726993,162727493
"chr8",19900752,19901252
"chr7",120787622,120788122
"chr6",166365638,166366138
"chr9",131289537,131290037
"chr7",80371146,80371646
"chr3",173397206,173397706
"chr7",113118146,113118646
"chr7",23236122,23236622
"chr11",112088560,112089060
"chr7",116525175,116525675
"chr22",19520185,19520685
"chr2",178524388,178524888
"chr1",56646123,56646623
"chr19",36148617,36149117
"chr5",145939471,145939971
"chr5",112874379,112874879
"chr3",149319638,149320138
"chr4",83262719,83263219
"chr12",91102739,91103239
"chr7",23236686,23237186
"chr11",111908661,111909161
"chr3",8733151,8733651
"chr11",112085893,112086393
"chr6",143059425,143059925
"chr3",155820469,155820969
"chr11",106048945,106049445
"chr3",46513197,46513697
"chr2",86604253,86604753
"chr2",126656356,126656856
"chr11",62685091,62685591
"chr19",2714362,2714862
"chr5",81235318,81235818
"chr1",54024761,54025261
"chr6",143060677,143061177
"chr7",33109569,33110069
"chr4",185395445,185395945
"chr2",181952904,181953404
"chr16",1936366,1936866
"chr10",71747900,71748400
"chr1",209675088,209675588
"chr1",9996060,9996560
"chr2",119367657,119368157
"chr11",126357395,126357895
"chr10",23438862,23439362
"chr7",49773456,49773956
"chr3",50614136,50614636
"chr10",13276926,13277426
"chr2",126655866,126656366
"chr19",2714510,2715010
"chr1",74235671,74236171
"chr2",69397507,69398007
"chr16",31426681,31427181
"chr17",39626934,39627434
"chr1",74237800,74238300
"chr7",123566960,123567460
"chr20",25004063,25004563
"chr14",33923843,33924343
"chr10",96365073,96365573
"chr15",70830353,70830853
"chr1",150260195,150260695
"chr13",113455801,113456301
"chr10",71747266,71747766
"chr2",230414800,230415300
"chr3",120595819,120596319
"chr9",131290112,131290612
"chr9",5356734,5357234
"chr2",46542609,46543109
"chr2",126656264,126656764
"chr7",49773753,49774253
"chr1",12566384,12566884
"chr14",102499278,102499778
"chr7",30913199,30913699
"chr2",20033233,20033733
"chr14",100727552,100728052
"chr1",50960028,50960528
"chr4",173526450,173526950
"chr2",63590347,63590847
"chr6",143059062,143059562
"chr11",112089321,112089821
"chr22",39118822,39119322
"chr6",166363606,166364106
"chr22",43150059,43150559
"chr15",65051035,65051535
"chr11",118161695,118162195
"chr11",112088432,112088932
"chr6",168441388,168441888
"chr14",33921366,33921866
"chr4",152318591,152319091
"chr4",152318031,152318531
"chr2",105358486,105358986
"chr7",23236831,23237331
"chr1",182379203,182379703
"chr10",13278402,13278902
"chr22",35650128,35650628
"chr5",194225,194725
"chr7",31752039,31752539
"chr6",78866918,78867418
"chr6",117909472,117909972
"chr1",226941455,226941955
"chr6",162725858,162726358
"chr13",41459551,41460051
"chrX",79361163,79361663
"chr5",193557,194057
"chr1",17016665,17017165
"chr4",173527413,173527913
"chr15",65051614,65052114
"chr4",8269828,8270328
"chr10",22318354,22318854
"chr7",31748317,31748817
"chr14",102500050,102500550
"chr1",17019975,17020475
"chr6",78866583,78867083
"chr2",126658123,126658623
"chr17",44960289,44960789
"chr7",31750980,31751480
"chr12",7080126,7080626
"chr15",88896114,88896614
"chr16",57449447,57449947
"chr1",50960985,50961485
"chr10",97497640,97498140
"chr14",100728338,100728838
"chr2",20030942,20031442
"chr4",140387012,140387512
"chr9",68706249,68706749
"chr1",100147242,100147742
"chr1",50960464,50960964
"chr17",39625742,39626242
"chr3",8736416,8736916
"chr3",126340187,126340687
"chr6",143060935,143061435
"chr6",166366064,166366564
"chr12",102011522,102012022
"chr19",10564513,10565013
"chr5",16473052,16473552
"chr22",19522291,19522791
"chr13",27435402,27435902
"chr10",23441539,23442039
"chr14",60142363,60142863
"chr3",126341664,126342164
"chr3",8734626,8735126
"chr5",191220,191720
"chr19",10567893,10568393
"chr20",25005957,25006457
"chr15",70655416,70655916
"chr7",123568346,123568846
"chr14",60141589,60142089
"chr2",105357777,105358277
"chr4",173529795,173530295
"chr3",192136690,192137190
"chr1",26048998,26049498
"chr2",191832194,191832694
"chr15",70651880,70652380
"chr2",20032672,20033172
"chrX",154673783,154674283
"chr9",15161941,15162441
"chr15",88898303,88898803
"chr16",1937863,1938363
"chr21",25641213,25641713
"chr15",44711314,44711814
"chr10",97500392,97500892
"chr22",41230286,41230786
"chr12",21763155,21763655
"chr1",17018230,17018730
"chr11",108118865,108119365
"chr16",75110912,75111412
"chr19",2715523,2716023
"chr1",167917910,167918410
"chr6",5087229,5087729
"chr12",9066545,9067045
"chr6",99369938,99370438
"chr16",31429205,31429705
"chr1",38836471,38836971
"chr13",113453215,113453715
"chr11",106050467,106050967
"chr7",33111293,33111793
"chr5",112876850,112877350
"chr1",7786655,7787155
"chr2",119369257,119369757
"chr6",5995980,5996480
"chr2",63589078,63589578
"chr12",7080368,7080868
"chr22",43152499,43152999
"chr22",35608232,35608732
"chr14",55126187,55126687
"chr22",39121242,39121742
"chr19",8320853,8321353
"chr3",120597016,120597516
"chr1",74236755,74237255
"chr3",195568611,195569111
"chr12",117038061,117038561
"chr18",34492582,34493082
"chr6",117908688,117909188
"chr10",113589900,113590400
"chr2",101252224,101252724
"chr5",143275171,143275671
"chr12",95658062,95658562
"chr10",13278699,13279199
"chr6",5086575,5087075
"chr22",41229509,41230009
"chr1",38837823,38838323
"chr11",67416514,67417014
"chr1",153535172,153535672
"chr15",70828264,70828764
"chr6",143063091,143063591
"chr1",165474468,165474968
"chr2",86601772,86602272
"chr14",102501739,102502239
"chr11",62687765,62688265
"chr11",33700262,33700762
"chr4",8268564,8269064
"chr5",145935798,145936298
"chr19",3933106,3933606
"chr15",70652275,70652775
"chr3",195569815,195570315
"chr8",90002696,90003196
"chr12",95658916,95659416
"chr1",56644222,56644722
"chr17",75636154,75636654
"chr12",117039998,117040498
"chr5",81236026,81236526
"chr15",44713748,44714248
"chr7",120788628,120789128
"chr1",12565402,12565902
"chr3",149316049,149316549
"chr14",104579592,104580092
"chr3",50610972,50611472
"chr2",105358972,105359472
"chr8",143551899,143552399
"chr6",112086884,112087384
"chr4",173522771,173523271
"chr4",173525796,173526296
"chr3",127915477,127915977
"chr1",209675466,209675966
"chr22",19523487,19523987
"chr3",195568596,195569096
"chr1",100145825,100146325
"chr14",103940125,103940625
"chr5",143278010,143278510
"chr15",65053457,65053957
"chr1",167914926,167915426
"chr6",78869564,78870064
"chr12",26124663,26125163
"chr14",102502624,102503124
"chr19",3935601,3936101
"chrX",154673570,154674070
"chr19",10564431,10564931
"chr2",178526296,178526796
"chr7",120787335,120787835
"chr2",230415767,230416267
"chr3",173396749,173397249
"chr10",13278055,13278555
"chr1",54025075,54025575
"chr2",181954414,181954914
"chr1",165629869,165630369
"chr1",167916305,167916805
"chr15",88896208,88896708
"chr22",39118951,39119451
"chr11",126357610,126358110
"chr13",113174766,113175266
"chr3",156038841,156039341
"chr6",5998839,5999339
"chr22",39121573,39122073
"chr1",74238315,74238815
"chr11",67413882,67414382
"chr2",63589798,63590298
"chr8",143975621,143976121
"chr14",103941488,103941988
"chr1",9999756,10000256
"chr6",168442443,168442943
"chr12",7077974,7078474
"chr1",56644490,56644990
"chr11",112088198,112088698
"chr11",112088243,112088743
"chr2",181956573,181957073
"chr4",83262694,83263194
"chr13",113452982,113453482
"chr10",113589795,113590295
"chr11",33701787,33702287
"chr15",70828933,70829433
"chr10",113587296,113587796
"chr1",150260037,150260537
"chr2",63590896,63591396
"chr12",117039109,117039609
"chr7",49775511,49776011
"chr16",57445959,57446459
"chr19",8324065,8324565
"chr2",126657809,126658309
"chr19",3931777,3932277
"chr18",61808698,61809198
"chrX",77899164,77899664
"chr13",73055082,73055582
"chr16",31427798,31428298
"chr6",5084055,5084555
"chr19",36151992,36152492
"chr3",46515835,46516335
"chr16",57446153,57446653
"chr1",17019434,17019934
"chr8",143977130,143977630
"chr2",181956462,181956962
"chr5",143275257,143275757
"chr8",40152871,40153371
"chr1",7785260,7785760
"chr2",191835097,191835597
"chr12",9066978,9067478
"chr8",90793796,90794296
"chr10",22319255,22319755
"chr5",145938797,145939297
"chr10",96364673,96365173
"chr1",182376165,182376665
"chr1",209677972,209678472
"chr1",100147267,100147767
"chr2",230418548,230419048
"chr2",126657972,126658472
"chr1",150256261,150256761
"chr22",43151791,43152291
"chr8",141393055,141393555
"chr3",192138966,192139466
"chr4",57028217,57028717
"chr1",9998605,9999105
"chr11",67414758,67415258
"chr11",118160717,118161217
"chr14",100725174,100725674
"chr11",62685661,62686161
"chr6",112089109,112089609
"chr7",116524817,116525317
"chr4",185395965,185396465
"chr14",103940640,103941140
"chr10",113589775,113590275
"chr7",120785623,120786123
"chr13",113175219,113175719
"chr6",118548273,118548773
"chr1",56644480,56644980
"chr12",56265466,56265966
"chr1",165632115,165632615
"chr8",141394407,141394907
"chr13",41457492,41457992
"chr5",16474497,16474997
"chr1",56645265,56645765
"chr2",181955023,181955523
"chr16",57446586,57447086
"chr15",88899944,88900444
"chr8",90001503,90002003
"chr1",205504019,205504519
"chr10",97499654,97500154
"chr2",101252069,101252569
"chr3",53881562,53882062
"chr2",219418128,219418628
"chr4",140387281,140387781
"chr12",21764978,21765478
"chr19",36148934,36149434
"chr1",182378876,182379376
"chr7",49774271,49774771
"chr8",47734875,47735375
"chr11",63995755,63996255
"chr7",49775153,49775653
"chr8",141392270,141392770
"chr11",106051116,106051616
"chr3",42690143,42690643
"chr15",65076755,65077255
"chr18",34491897,34492397
"chr9",15164116,15164616
"chr2",37641342,37641842
"chr5",81231862,81232362
"chr2",18552645,18553145
"chr5",112875325,112875825
"chr9",121209454,121209954
"chr12",102010666,102011166
"chr3",195568937,195569437
"chr19",15112103,15112603
"chr11",108117250,108117750
"chr2",230416080,230416580
"chr14",55124832,55125332
"chr7",123569896,123570396
"chr22",39119244,39119744
"chr3",192137045,192137545
"chr1",56644541,56645041
"chr15",43868594,43869094
"chr3",173397990,173398490
"chr8",141392463,141392963
"chr6",78866888,78867388
"chr7",33108723,33109223
"chr7",120787968,120788468
"chr12",91100368,91100868
"chr3",149316384,149316884
"chr6",99368840,99369340
"chr13",113176697,113177197
"chr2",20030105,20030605
"chr9",68707101,68707601
"chr2",20033868,20034368
"chr2",69393214,69393714
"chr18",34493065,34493565
"chr17",39629721,39630221
"chr3",42692378,42692878
"chr4",173524392,173524892
"chr7",23237817,23238317
"chr5",112877588,112878088
"chr2",20030067,20030567
"chr15",65052244,65052744
"chr2",219418163,219418663
"chr1",9996730,9997230
"chr14",104580261,104580761
"chr3",127688422,127688922
"chr3",127688432,127688932
"chr12",21762973,21763473
"chr2",191834572,191835072
"chr22",41228387,41228887
"chr1",50962985,50963485
"chr2",20029689,20030189
"chr13",113176446,113176946
"chr17",75636062,75636562
"chr15",42413124,42413624
"chr3",127913893,127914393
"chr15",65050435,65050935
"chr2",105359198,105359698
"chrX",77902240,77902740
"chr17",75633820,75634320
"chr14",60143397,60143897
"chr1",54026660,54027160
"chr16",31426054,31426554
"chr7",44142840,44143340
"chr15",42411586,42412086
"chr3",8733575,8734075
"chr17",39626830,39627330
"chr3",126342896,126343396
"chr6",81488572,81489072
"chr2",178525366,178525866
"chr3",192138065,192138565
"chr22",19524281,19524781
"chr22",43154019,43154519
"chr22",35606548,35607048
"chr3",192139961,192140461
"chrX",103628584,103629084
"chr14",102500754,102501254
"chr2",181957003,181957503
"chr6",162729151,162729651
"chr2",20032405,20032905
"chr3",195569507,195570007
"chr7",44143757,44144257
"chr7",30910549,30911049
"chr12",26123542,26124042
"chr2",37642341,37642841
"chr10",97499922,97500422
"chr11",62685758,62686258
"chr10",97499362,97499862
"chr15",44710043,44710543
"chr15",43869015,43869515
"chr4",173527438,173527938
"chr6",118550378,118550878
"chr4",173526191,173526691
"chr2",86601590,86602090
"chr8",40154547,40155047
"chr9",68704084,68704584
"chr15",43867988,43868488
"chr15",70828654,70829154
"chrX",103631080,103631580
"chr1",50961360,50961860
"chr9",68704708,68705208
"chr1",100146591,100147091
"chr1",7784755,7785255
"chr12",26120817,26121317
"chr2",46541903,46542403
"chr1",165631503,165632003
"chr15",70652528,70653028
"chr5",95749057,95749557
"chr2",237858681,237859181
"chr1",153534783,153535283
"chr12",21764265,21764765
"chr8",40154637,40155137
"chr10",71746003,71746503
"chr22",39121040,39121540
"chr1",12565354,12565854
"chr8",142770924,142771424
"chr1",17016682,17017182
"chr11",47175097,47175597
"chr8",40153245,40153745
"chrX",154672494,154672994
"chr10",97499011,97499511
"chr2",18555670,18556170
"chr22",35646988,35647488
"chr17",75632708,75633208
"chr21",25638759,25639259
"chr3",8736395,8736895
"chr3",156040288,156040788
"chr15",43871585,43872085
"chr19",10564097,10564597
"chr6",81488959,81489459
"chr2",30346604,30347104
"chr9",5355857,5356357
"chr2",30346504,30347004
"chr8",143974440,143974940
"chr22",35607283,35607783
"chr2",20031095,20031595
"chr4",173528459,173528959
"chrX",77899984,77900484
"chr3",173397911,173398411
"chr10",124619364,124619864
"chr2",178524248,178524748
"chr11",67416210,67416710
"chr12",26124972,26125472
"chr7",31752056,31752556
"chr4",173528327,173528827
"chr17",39628676,39629176
"chr4",173527033,173527533
"chr9",68703811,68704311
"chr7",49772664,49773164
"chr7",49774080,49774580
"chr2",46543504,46544004
"chr7",123567970,123568470
"chr10",23438201,23438701
"chr4",83259764,83260264
"chr22",43153479,43153979
"chr13",41460188,41460688
"chr3",156037485,156037985
"chr12",117040161,117040661
"chr3",53881946,53882446
"chr11",112089039,112089539
"chr20",25004571,25005071
"chr10",97498522,97499022
"chr14",100726638,100727138
"chr11",106052258,106052758
"chr4",8268341,8268841
"chr16",75110158,75110658
"chr21",25638084,25638584
"chr9",131290364,131290864
"chr6",78870488,78870988
"chr1",205505761,205506261
"chr12",21762354,21762854
"chr2",178523432,178523932
"chr10",113589947,113590447
"chr8",47736359,47736859
"chr10",71748216,71748716
"chr16",75112405,75112905
"chr22",35647641,35648141
"chr11",47175286,47175786
"chr6",143059865,143060365
"chr9",68704312,68704812
"chr2",237860522,237861022
"chr3",149317295,149317795
"chr4",173524248,173524748
"chr14",102498850,102499350
"chr1",17017313,17017813
"chr17",39627475,39627975
"chr2",126657894,126658394
"chr6",118550035,118550535
"chr10",113588568,113589068
"chr1",7783088,7783588
"chr11",118163914,118164414
"chr6",117906655,117907155
"chr1",205506425,205506925
"chr1",209678311,209678811
"chr8",18056058,18056558
"chr8",40155874,40156374
"chr5",143276166,143276666
"chr13",27435019,27435519
"chr15",88897376,88897876
"chr1",50962121,50962621
"chr1",226940816,226941316
"chr2",101253073,101253573
"chr2",37642180,37642680
"chr14",104580636,104581136
"chr9",131290653,131291153
"chr3",53881502,53882002
"chr13",27434749,27435249
"chr21",25638141,25638641
"chr10",71748930,71749430
"chr2",86601194,86601694
"chr11",47177730,47178230
"chr17",44956761,44957261
"chr3",173395665,173396165
"chr5",143277148,143277648
"chr18",61805452,61805952
"chr8",40152722,40153222
"chr8",142772645,142773145
"chr10",23440301,23440801
"chr1",167913726,167914226
"chr7",120787963,120788463
"chr13",73055440,73055940
"chr6",112089892,112090392
"chr7",30914244,30914744
"chr12",91100588,91101088
"chr1",165633936,165634436
"chr13",27435070,27435570
"chr18",61806490,61806990
"chr1",100148134,100148634
"chr20",25006614,25007114
"chrX",77898110,77898610
"chr11",126358385,126358885
"chr8",47734930,47735430
"chr9",12775733,12776233
"chr16",1935573,1936073
"chr19",2712424,2712924
"chr12",26124830,26125330
"chr1",56645914,56646414
"chr11",106051967,106052467
"chr10",96361865,96362365
"chr14",60145396,60145896
"chr14",60143733,60144233
"chr14",33921911,33922411
"chr1",7783676,7784176
"chr17",75633989,75634489
"chr14",60142830,60143330
"chr8",19903180,19903680
"chr1",50962602,50963102
"chr4",83260057,83260557
"chr4",173524156,173524656
"chr1",205506754,205507254
"chr14",103940312,103940812
"chr8",90794061,90794561
"chr10",23439134,23439634
"chr17",39629578,39630078
"chr7",23237439,23237939
"chr3",192136793,192137293
"chr3",50611486,50611986
"chr8",141394382,141394882
"chr8",90000886,90001386
"chr20",603868,604368
"chr1",50961848,50962348
"chr9",12777426,12777926
"chr11",63995605,63996105
"chr19",10564263,10564763
"chr16",1937609,1938109
"chr19",2715123,2715623
"chr3",42691173,42691673
"chrX",79358980,79359480
"chr5",95752346,95752846
"chr9",121206914,121207414
"chr9",121208820,121209320
"chr4",83262480,83262980
"chr12",56268476,56268976
"chr2",46542128,46542628
"chrX",103629724,103630224
"chr8",90791534,90792034
"chr1",54026476,54026976
"chr1",17016726,17017226
"chr3",127687969,127688469
"chr19",36150606,36151106
"chr3",149316946,149317446
"chr2",46541647,46542147
"chr1",50962630,50963130
"chr11",126357229,126357729
"chr2",69394055,69394555
"chr14",55124196,55124696
"chr3",46516363,46516863
"chr9",4679131,4679631
"chr2",105354885,105355385
"chr9",4682473,4682973
"chr5",143279006,143279506
"chr22",41229330,41229830
"chr16",75111551,75112051
"chr2",46540856,46541356
"chr5",191879,192379
"chr5",145939378,145939878
"chr1",38836964,38837464
"chr2",63590082,63590582
"chr3",195568036,195568536
"chr19",2711616,2712116
"chr14",104582215,104582715
"chr8",40155044,40155544
"chr15",43868413,43868913
"chr6",112090496,112090996
"chr10",71744882,71745382
"chrX",79359073,79359573
"chr18",61806204,61806704
"chr10",73422472,73422972
"chr7",123569454,123569954
"chr15",65053289,65053789
"chr10",13278520,13279020
"chr2",126657252,126657752
"chr3",8734785,8735285
"chr10",13279099,13279599
"chr4",173525694,173526194
"chr1",17017082,17017582
"chr17",44957548,44958048
"chr14",103940640,103941140
"chr3",127687859,127688359
"chr14",55126084,55126584
"chr2",20033861,20034361
"chr12",26120871,26121371
"chr16",75111620,75112120
"chr3",155821658,155822158
"chr8",18056798,18057298
"chr2",37640356,37640856
"chr10",113586024,113586524
"chr8",40155658,40156158
"chr13",73057446,73057946
"chr5",192847,193347
"chr12",95658754,95659254
"chr4",173525771,173526271
"chr11",112089614,112090114
"chr2",101252426,101252926
"chr8",19902309,19902809
"chr3",127914396,127914896
"chr1",182378122,182378622
"chr1",74236545,74237045
"chr2",18554707,18555207
"chr2",86604704,86605204
"chr13",113453027,113453527
"chr14",55123795,55124295
"chr6",5084111,5084611
"chr5",143275636,143276136
"chr22",35650815,35651315
"chr1",54024262,54024762
"chr6",166362788,166363288
"chr13",27436753,27437253
"chr2",46541047,46541547
"chr16",75110125,75110625
"chr12",95658899,95659399
"chr21",25641658,25642158
"chr3",50611598,50612098
"chr9",68704505,68705005
"chr10",124617933,124618433
"chr21",25637928,25638428
"chr10",113587777,113588277
"chr7",120786790,120787290
"chr5",16473295,16473795
"chr15",65052430,65052930
"chr5",95751795,95752295
"chr10",73423805,73424305
"chr8",143552714,143553214
"chr22",35608171,35608671
"chr9",131290521,131291021
"chr17",39627045,39627545
"chr9",68706961,68707461
"chr1",226942619,226943119
"chr2",126655793,126656293
"chr8",141390685,141391185
"chr9",121209394,121209894
"chr7",31748393,31748893
"chr9",4678979,4679479
"chr12",7078003,7078503
"chr1",165478311,165478811
"chr12",26123482,26123982
"chr10",13275750,13276250
"chr5",81233907,81234407
"chr1",100146801,100147301
"chr4",173525446,173525946
"chr9",12775303,12775803
"chr8",143553938,143554438
"chr5",112874238,112874738
"chr16",75112409,75112909
"chr2",30349432,30349932
"chr12",56268957,56269457
"chr19",8320992,8321492
"chr1",54025366,54025866
"chr12",95658563,95659063
"chr6",143060994,143061494
"chr13",41459162,41459662
"chr22",41229820,41230320
"chr14",55124620,55125120
"chr2",46544396,46544896
"chr13",41460166,41460666
"chr14",104582250,104582750
"chr16",1937834,1938334
"chr7",120784788,120785288
"chr7",120787017,120787517
"chr2",178526930,178527430
"chr12",7077769,7078269
"chr11",19183217,19183717
"chr18",61807136,61807636
"chr8",90003035,90003535
"chr6",166363364,166363864
"chr5",16471402,16471902
"chr6",143063125,143063625
"chr12",21762578,21763078
"chr11",118161432,118161932
"chrX",77899430,77899930
"chr3",8736415,8736915
"chr8",143554914,143555414
"chr3",127689278,127689778
"chr3",192140048,192140548
"chr16",57446965,57447465
"chr14",102499584,102500084
"chr1",209676849,209677349
"chr6",162726061,162726561
"chrX",79359471,79359971
"chr9",121206313,121206813
"chr2",63589606,63590106
"chr3",149316159,149316659
"chr1",26049183,26049683
"chr1",167914888,167915388
"chr10",23438988,23439488
"chr6",112086879,112087379
"chrX",79360037,79360537
"chr2",46543651,46544151
"chr9",15160930,15161430
"chr9",68705982,68706482
"chr1",50961623,50962123
"chr10",73422484,73422984
"chr8",47734209,47734709
"chr9",131291405,131291905
"chr5",192648,193148
