tRNA	1_DEL13080_R1_17to51__tRNA.txt	2_DEL13080_R1_17to51__tRNA.txt	3_DEL13080_R1_17to51__tRNA.txt	4_DEL13080_R1_17to51__tRNA.txt	5_DEL13080_R1_17to51__tRNA.txt	6_DEL13080_R1_17to51__tRNA.txt	7_DEL13080_R1_17to51__tRNA.txt	8_DEL13080_R1_17to51__tRNA.txt	9_DEL13080_R1_17to51__tRNA.txt	10_DEL13080_R1_17to51__tRNA.txt	11_DEL13080_R1_17to51__tRNA.txt	12_DEL13080_R1_17to51__tRNA.txt	13_DEL13080_R1_17to51__tRNA.txt	14_DEL13080_R1_17to51__tRNA.txt	15_DEL13080_R1_17to51__tRNA.txt	16_DEL13080_R1_17to51__tRNA.txt	17_DEL13080_R1_17to51__tRNA.txt	18_DEL13080_R1_17to51__tRNA.txt	19_DEL13080_R1_17to51__tRNA.txt	20_DEL13080_R1_17to51__tRNA.txt	21_DEL13080_R1_17to51__tRNA.txt	22_DEL13080_R1_17to51__tRNA.txt	23_DEL13080_R1_17to51__tRNA.txt	24_DEL13080_R1_17to51__tRNA.txt	25_DEL13080_R1_17to51__tRNA.txt	26_DEL13080_R1_17to51__tRNA.txt	27_DEL13080_R1_17to51__tRNA.txt	28_DEL13080_R1_17to51__tRNA.txt	29_DEL13080_R1_17to51__tRNA.txt	30_DEL13080_R1_17to51__tRNA.txt	31_DEL13080_R1_17to51__tRNA.txt	32_DEL13080_R1_17to51__tRNA.txt	33_DEL13080_R1_17to51__tRNA.txt	34_DEL13080_R1_17to51__tRNA.txt	35_DEL13080_R1_17to51__tRNA.txt	36_DEL13080_R1_17to51__tRNA.txt	37_DEL13080_R1_17to51__tRNA.txt	38_DEL13080_R1_17to51__tRNA.txt	39_DEL13080_R1_17to51__tRNA.txt	40_DEL13080_R1_17to51__tRNA.txt	
chr7.trna25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr7.trna29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr7.trna20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	
chr7.trna24	3.0	4.0	27.0	12.0	12.0	13.0	2.0	4.0	3.0	11.0	15.0	10.0	8.0	11.0	4.0	17.0	26.0	10.0	41.0	5.0	10.0	2.0	12.0	14.0	13.0	2.0	10.0	19.0	0.0	7.0	5.0	6.0	20.0	16.0	36.0	4.0	18.0	12.0	17.0	14.0	
chr7.trna23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr7.trna22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr7.trna21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr7.trna15	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
chr7.trna14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
chr7.trna19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
chr7.trna13	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr7.trna12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
chr4.trna4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr4.trna5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr4.trna2	18.0	5.0	2.0	26.0	24.0	31.0	16.0	3.0	3.0	0.0	2.0	7.0	23.0	47.0	13.0	1.0	5.0	17.0	2.0	21.0	7.0	18.0	0.0	31.0	8.0	13.0	26.0	4.0	6.0	5.0	11.0	0.0	3.0	40.0	7.0	26.0	2.0	4.0	3.0	2.0	
chr4.trna3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr11.trna18	54.0	30.0	100.0	148.0	52.0	104.0	128.0	283.0	39.0	35.0	134.0	72.0	78.0	129.0	20.0	145.0	81.0	52.0	142.0	36.0	44.0	68.0	73.0	86.0	75.0	96.0	106.0	87.0	48.0	61.0	91.0	91.0	119.0	105.0	133.0	49.0	137.0	60.0	133.0	22.0	
chr11.trna17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr11.trna19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr11.trna13	84.0	54.0	143.0	130.0	98.0	66.0	104.0	56.0	139.0	27.0	67.0	39.0	114.0	66.0	36.0	66.0	68.0	49.0	50.0	97.0	67.0	103.0	71.0	107.0	104.0	96.0	148.0	76.0	34.0	36.0	103.0	51.0	65.0	109.0	64.0	56.0	93.0	75.0	70.0	26.0	
chr19.trna13	521.0	181.0	1005.0	2170.0	251.0	964.0	410.0	2665.0	221.0	210.0	1266.0	477.0	701.0	1386.0	165.0	1501.0	831.0	381.0	1231.0	394.0	493.0	524.0	370.0	696.0	566.0	412.0	991.0	602.0	201.0	757.0	633.0	379.0	524.0	987.0	1014.0	381.0	706.0	497.0	173.0	344.0	
chr11.trna16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr19.trna11	18.0	15.0	29.0	26.0	16.0	8.0	27.0	13.0	25.0	9.0	23.0	15.0	23.0	20.0	4.0	11.0	11.0	19.0	32.0	25.0	31.0	14.0	31.0	29.0	20.0	10.0	27.0	34.0	4.0	8.0	10.0	17.0	28.0	26.0	23.0	14.0	23.0	27.0	13.0	20.0	
chr15.trna11	0.0	1.0	1.0	4.0	0.0	5.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	6.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr15.trna12	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr19.trna12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr11.trna12	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
chr11.trna11	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr19.trna10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
chr11.trna20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
chr6.trna7	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna6	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna9	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	
chr6.trna8	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr18.trna1	0.0	0.0	4.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	1.0	0.0	0.0	6.0	0.0	1.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	4.0	4.0	17.0	5.0	1.0	
chr9.trna1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr9.trna7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
chr9.trna8	0.0	2.0	0.0	4.0	4.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	4.0	28.0	3.0	3.0	0.0	0.0	6.0	1.0	1.0	7.0	0.0	0.0	0.0	2.0	1.0	1.0	4.0	1.0	0.0	0.0	2.0	3.0	1.0	
chr9.trna9	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr9.trna4	0.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	
chr9.trna5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr9.trna6	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	5.0	0.0	2.0	1.0	3.0	2.0	0.0	1.0	1.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	
chr6.trna3	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna5	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna4	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr16.trna2	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr16.trna1	2.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	1.0	2.0	0.0	2.0	4.0	1.0	4.0	6.0	0.0	0.0	4.0	1.0	5.0	0.0	2.0	1.0	5.0	1.0	3.0	1.0	0.0	3.0	1.0	1.0	2.0	7.0	2.0	5.0	3.0	4.0	0.0	
chr16.trna4	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr16.trna3	5.0	1.0	1.0	6.0	1.0	0.0	1.0	5.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	10.0	0.0	1.0	1.0	2.0	2.0	0.0	3.0	1.0	7.0	1.0	2.0	0.0	3.0	
chr16.trna6	2.0	0.0	1.0	3.0	1.0	0.0	3.0	3.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	5.0	2.0	1.0	2.0	1.0	3.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	1.0	0.0	
chr16.trna5	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr16.trna8	4.0	0.0	3.0	4.0	2.0	4.0	2.0	2.0	0.0	0.0	1.0	3.0	6.0	4.0	1.0	7.0	1.0	9.0	1.0	0.0	0.0	2.0	1.0	5.0	4.0	2.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	7.0	0.0	2.0	1.0	1.0	2.0	0.0	
chr16.trna7	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	
chr16.trna9	4.0	0.0	2.0	4.0	2.0	5.0	1.0	1.0	0.0	0.0	1.0	3.0	5.0	1.0	2.0	6.0	1.0	10.0	1.0	0.0	0.0	2.0	1.0	6.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	6.0	1.0	3.0	1.0	1.0	2.0	0.0	
chr22.trna1	0.0	1.0	1.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	6.0	8.0	5.0	1.0	2.0	0.0	3.0	0.0	6.0	1.0	4.0	1.0	0.0	1.0	3.0	3.0	3.0	0.0	6.0	4.0	2.0	1.0	1.0	1.0	0.0	
chr12.trna14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr12.trna15	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr12.trna12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr12.trna13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr12.trna10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
